inst,args,energy,time,freq,thr
SUB,"['rax', 'rax']",1188506282,0.010967079798380535,2800000,1
SUB,"['rax', 'rcx']",4723636087,0.04320062001546224,2800000,1
SUB,"['rax', '0']",3945564296,0.03638509114583333,2800000,1
SUB,"['rax', '<0000000000000001>']",4441569143,0.039563862482706706,2800000,1
SUB,"['<0000000000000001>', 'rax']",28821000465,0.25586880842844645,2800000,1
ADC,"['rax', 'rax']",8566193083,0.07860659758249919,2800000,1
ADC,"['rax', 'rcx']",8611249083,0.07902236779530843,2800000,1
ADC,"['rax', '0']",4903770521,0.04474086761474609,2800000,1
ADC,"['rax', '<0000000000000001>']",8635809792,0.07806856632232666,2800000,1
ADC,"['<0000000000000001>', 'rax']",31803373431,0.2844295263290405,2800000,1
SBB,"['rax', 'rax']",8626401006,0.07928117116292317,2800000,1
SBB,"['rax', 'rcx']",8517397162,0.07825940450032552,2800000,1
SBB,"['rax', '0']",4024978636,0.03720848560333252,2800000,1
SBB,"['rax', '<0000000000000001>']",8751476462,0.07927925586700439,2800000,1
SBB,"['<0000000000000001>', 'rax']",32045137920,0.2868889967600505,2800000,1
AND,"['rax', 'rax']",4722786304,0.04316895802815755,2800000,1
AND,"['rax', 'rcx']",3928946551,0.03625624974568685,2800000,1
AND,"['rax', '0']",4451299054,0.04082136948903402,2800000,1
AND,"['rax', '<0000000000000001>']",4394044620,0.039210311571757,2800000,1
AND,"['<0000000000000001>', 'rax']",29128244155,0.25868450005849203,2800000,1
OR,"['rax', 'rax']",3923000251,0.036223228772481283,2800000,1
OR,"['rax', 'rcx']",4693295104,0.04297819932301839,2800000,1
OR,"['rax', '0']",3928455031,0.036233949661254886,2800000,1
OR,"['rax', '<0000000000000001>']",4860545160,0.04325312773386637,2800000,1
OR,"['<0000000000000001>', 'rax']",29063525171,0.25793851216634117,2800000,1
XOR,"['rax', 'rax']",1184213674,0.010943714777628582,2800000,1
XOR,"['rax', 'rcx']",3936221047,0.03635679880777995,2800000,1
XOR,"['rax', '0']",4715299908,0.043119263648986814,2800000,1
XOR,"['rax', '<0000000000000001>']",4051640866,0.03626337051391602,2800000,1
XOR,"['<0000000000000001>', 'rax']",29190839773,0.2591635862986247,2800000,1
ADD,"['rax', 'rax']",4739321036,0.04642696380615234,2600000,1
ADD,"['rax', 'rcx']",3942505949,0.03903695742289225,2600000,1
ADD,"['rax', '0']",4740402380,0.04650908311208089,2600000,1
ADD,"['rax', '<0000000000000001>']",4065691784,0.03901633421579997,2600000,1
ADD,"['<0000000000000001>', 'rax']",29535183394,0.281412672996521,2600000,1
SUB,"['rax', 'rax']",1395897139,0.01378328800201416,2600000,1
SUB,"['rax', 'rcx']",4636702583,0.04549469153086345,2600000,1
SUB,"['rax', '0']",4189262097,0.04127372105916341,2600000,1
SUB,"['rax', '<0000000000000001>']",4567441954,0.04365066687266032,2600000,1
SUB,"['<0000000000000001>', 'rax']",29206330299,0.27841094334920247,2600000,1
ADC,"['rax', 'rax']",8671465745,0.08537717660268147,2600000,1
ADC,"['rax', 'rcx']",8697243238,0.08566772143046061,2600000,1
ADC,"['rax', '0']",4621161813,0.04537477493286133,2600000,1
ADC,"['rax', '<0000000000000001>']",8763371246,0.08511370023091634,2600000,1
ADC,"['<0000000000000001>', 'rax']",35294240221,0.33843292395273844,2600000,1
SBB,"['rax', 'rax']",8853500723,0.08711321353912353,2600000,1
SBB,"['rax', 'rcx']",8596389888,0.08467910289764405,2600000,1
SBB,"['rax', '0']",4603668070,0.04521230856577555,2600000,1
SBB,"['rax', '<0000000000000001>']",8868248507,0.08611227671305338,2600000,1
SBB,"['<0000000000000001>', 'rax']",31979728622,0.30735958417256676,2600000,1
AND,"['rax', 'rax']",4710574762,0.04625705083211263,2600000,1
AND,"['rax', 'rcx']",4111861896,0.04055490493774414,2600000,1
AND,"['rax', '0']",4621898001,0.0453895092010498,2600000,1
AND,"['rax', '<0000000000000001>']",4224736733,0.04050750732421875,2600000,1
AND,"['<0000000000000001>', 'rax']",30152764074,0.2875428040822347,2600000,1
OR,"['rax', 'rax']",3974369553,0.039307570457458495,2600000,1
OR,"['rax', 'rcx']",4777596245,0.046827228864034016,2600000,1
OR,"['rax', '0']",3959272243,0.03913021882375081,2600000,1
OR,"['rax', '<0000000000000001>']",4859669162,0.046607621510823566,2600000,1
OR,"['<0000000000000001>', 'rax']",29289209309,0.27931116422017416,2600000,1
XOR,"['rax', 'rax']",1185978777,0.011751222610473632,2600000,1
XOR,"['rax', 'rcx']",4243445077,0.041864418983459474,2600000,1
XOR,"['rax', '0']",4407320029,0.04334604740142822,2600000,1
XOR,"['rax', '<0000000000000001>']",4252788326,0.040817634264628096,2600000,1
XOR,"['<0000000000000001>', 'rax']",29842232661,0.2846947908401489,2600000,1
ADD,"['rax', 'rax']",4000948770,0.04233850638071696,2400000,1
ADD,"['rax', 'rcx']",4787382954,0.05033747355143229,2400000,1
ADD,"['rax', '0']",4015281493,0.04248676300048828,2400000,1
ADD,"['rax', '<0000000000000001>']",4897083665,0.05028935273488363,2400000,1
ADD,"['<0000000000000001>', 'rax']",30490912358,0.3119876702626546,2400000,1
SUB,"['rax', 'rax']",1192482133,0.012679147720336913,2400000,1
SUB,"['rax', 'rcx']",4043885772,0.04279685020446777,2400000,1
SUB,"['rax', '0']",4699826858,0.04940100510915121,2400000,1
SUB,"['rax', '<0000000000000001>']",4882807739,0.050134650866190594,2400000,1
SUB,"['<0000000000000001>', 'rax']",29410254301,0.3011174519856771,2400000,1
ADC,"['rax', 'rax']",8943016345,0.09416702588399252,2400000,1
ADC,"['rax', 'rcx']",9408800358,0.09882479508717855,2400000,1
ADC,"['rax', '0']",4078156731,0.04317128658294678,2400000,1
ADC,"['rax', '<0000000000000001>']",8938573004,0.09296422004699707,2400000,1
ADC,"['<0000000000000001>', 'rax']",32950854178,0.3395145257314046,2400000,1
SBB,"['rax', 'rax']",8824828723,0.09299852848052978,2400000,1
SBB,"['rax', 'rcx']",9419347285,0.09899842739105225,2400000,1
SBB,"['rax', '0']",3987987933,0.042310206095377605,2400000,1
SBB,"['rax', '<0000000000000001>']",8898714009,0.09267385800679524,2400000,1
SBB,"['<0000000000000001>', 'rax']",33154883037,0.3417579889297485,2400000,1
AND,"['rax', 'rax']",4786911095,0.05034303665161133,2400000,1
AND,"['rax', 'rcx']",4590735633,0.04835944175720215,2400000,1
AND,"['rax', '0']",4116711560,0.04358675479888916,2400000,1
AND,"['rax', '<0000000000000001>']",4871587976,0.05008363723754883,2400000,1
AND,"['<0000000000000001>', 'rax']",29568720349,0.30279846986134845,2400000,1
OR,"['rax', 'rax']",4763158664,0.05010098616282145,2400000,1
OR,"['rax', 'rcx']",4421100066,0.046741390228271486,2400000,1
OR,"['rax', '0']",4448325905,0.04705111980438233,2400000,1
OR,"['rax', '<0000000000000001>']",5060014899,0.05192207495371501,2400000,1
OR,"['<0000000000000001>', 'rax']",29564604689,0.30265477498372395,2400000,1
XOR,"['rax', 'rax']",1987835767,0.0206622838973999,2400000,1
XOR,"['rax', 'rcx']",3998646272,0.04238870938618978,2400000,1
XOR,"['rax', '0']",4770769578,0.050185314814249676,2400000,1
XOR,"['rax', '<0000000000000001>']",4115887991,0.04240523974100749,2400000,1
XOR,"['<0000000000000001>', 'rax']",30382559505,0.31096558570861815,2400000,1
ADD,"['rax', 'rax']",4767315831,0.0541162649790446,2200000,1
ADD,"['rax', 'rcx']",4249054958,0.0484248956044515,2200000,1
ADD,"['rax', '0']",4854102971,0.05502085685729981,2200000,1
ADD,"['rax', '<0000000000000001>']",4168041540,0.04639808336893717,2200000,1
ADD,"['<0000000000000001>', 'rax']",30717168844,0.33941928545633954,2200000,1
SUB,"['rax', 'rax']",1215596680,0.013890218734741212,2200000,1
SUB,"['rax', 'rcx']",4349097847,0.04955910841623942,2200000,1
SUB,"['rax', '0']",4480868898,0.05095195770263672,2200000,1
SUB,"['rax', '<0000000000000001>']",4719179639,0.052516452471415204,2200000,1
SUB,"['<0000000000000001>', 'rax']",30042530338,0.3319389343261719,2200000,1
ADC,"['rax', 'rax']",8901669683,0.1009982426961263,2200000,1
ADC,"['rax', 'rcx']",9145883033,0.10364071528116862,2200000,1
ADC,"['rax', '0']",4872236782,0.05500494639078776,2200000,1
