,cores,frequency,input,regions,total_time,start_time,stop_time,global_start,rapl_sample-sysfs_power,energy
0,1,1.2,1,2,29.396871662139894,1596637922.239774,1596637951.6366456,1596637922.239774,27.69407817808219,8.141192620023512
1,1,1.2,1,3,14.706726455688477,1596638553.3513794,1596638568.058106,1596637922.239774,27.6047570186362,4.059756103488292
2,1,1.2,1,1,601.7147339820862,1596637951.6366456,1596638553.3513794,1596637922.239774,27.305622889951973,164.30195613442615
3,1,1.4,1,2,25.20920352935791,1596634946.1249824,1596634971.334186,1596634946.1249824,28.7383675794741,7.244713574124635
4,1,1.4,1,3,12.508053493499755,1596635486.897178,1596635499.4052315,1596634946.1249824,28.69147260064516,3.588744740961522
5,1,1.4,1,1,515.5629916191101,1596634971.334186,1596635486.897178,1596634946.1249824,28.45231411816843,146.6896018524956
6,1,1.6,1,2,22.012185525894164,1596632365.7963665,1596632387.808552,1596632365.7963665,29.99019940639269,6.601498332920769
7,1,1.6,1,3,11.011274528503417,1596632837.542296,1596632848.553571,1596632365.7963665,29.89654357587404,3.291990487673143
8,1,1.6,1,1,449.7337441921234,1596632387.808552,1596632837.542296,1596632365.7963665,29.72599447402377,133.68782794637082
9,1,1.8,1,2,20.35627112388611,1596630086.3928013,1596630106.7490723,1596630086.3928013,31.701640076192223,6.4532718046282245
10,1,1.8,1,3,9.992194747924804,1596630505.9483325,1596630515.9405272,1596630086.3928013,31.62092518757047,3.1596244258376482
11,1,1.8,1,1,399.1992603778839,1596630106.7490723,1596630505.9483325,1596630086.3928013,31.290587496610463,124.91179385436358
12,1,2.0,1,2,17.584461307525636,1596628045.6388144,1596628063.2232757,1596628045.6388144,33.736248011428565,5.932337478180544
13,1,2.0,1,3,8.752914094924927,1596628422.1842709,1596628430.9371848,1596628045.6388144,33.54245826671891,2.9359425574119506
14,1,2.0,1,1,358.96099519729614,1596628063.2232757,1596628422.1842709,1596628045.6388144,32.93691122805768,118.23066433148583
15,1,2.2,1,2,15.982215785980225,1596626199.814504,1596626215.7967198,1596626199.814504,35.394479773584905,5.656822133739464
16,1,2.2,1,3,7.933273839950561,1596626541.8687909,1596626549.8020647,1596626199.814504,35.272766278481015,2.7982851397976374
17,1,2.2,1,1,326.0720710277557,1596626215.7967198,1596626541.8687909,1596626199.814504,35.00920773513537,114.15524871236515
18,10,1.2,1,2,29.04750289916992,1596606810.1129394,1596606839.1604419,1596606810.1129394,34.022423743944636,9.882664523390194
19,10,1.2,1,3,14.396507453918456,1596606902.604321,1596606917.0008285,1596606810.1129394,34.06646837975502,4.904381659578205
20,10,1.2,1,1,63.44387903213501,1596606839.1604419,1596606902.604321,1596606810.1129394,40.21889838176888,25.516429237386753
21,10,1.4,1,2,24.9491988658905,1596606300.5918036,1596606325.5410023,1596606300.5918036,35.68295899193548,8.902612400132139
22,10,1.4,1,3,12.323585891723633,1596606377.3082366,1596606389.6318228,1596606300.5918036,35.78784034588531,4.4103452438181
