inst,args,energy
ORPD,"['xmm0', 'xmm0']",5837717504
ORPD,"['xmm0', 'xmm1']",5716384153
XORPD,"['xmm0', 'xmm0']",1529850538
XORPD,"['xmm0', 'xmm1']",5821892744
UNPCKLPS,"['xmm0', 'xmm0']",5791654434
UNPCKLPS,"['xmm0', 'xmm1']",5774427204
UNPCKHPS,"['xmm0', 'xmm0']",5831670715
UNPCKHPS,"['xmm0', 'xmm1']",5740237073
MOVLHPS,"['xmm0', 'xmm0']",5859202389
MOVLHPS,"['xmm0', 'xmm1']",5730520268
MOVHLPS,"['xmm0', 'xmm0']",5843021550
MOVHLPS,"['xmm0', 'xmm1']",5735474790
SHUFPS,"['xmm0', 'xmm1', '0']",5856478276
UNPCKLPD,"['xmm0', 'xmm0']",5724637320
UNPCKLPD,"['xmm0', 'xmm1']",5847067306
UNPCKHPD,"['xmm0', 'xmm0']",5721506884
UNPCKHPD,"['xmm0', 'xmm1']",5835917448
SHUFPD,"['xmm0', 'xmm1', '0']",5721500330
MOVD,"['xmm0', 'eax']",5667149141
MOVQ,"['xmm0', 'xmm0']",5219324177
MOVQ,"['xmm0', 'xmm1']",2209441382
MOVQ,"['xmm0', '<0000000000000001>']",2785411072
MOVQ,"['<0000000000000001>', 'xmm0']",5191803426
MOVDQA,"['xmm0', 'xmm0']",5347831534
MOVDQA,"['xmm0', 'xmm1']",2210256213
MOVDQU,"['xmm0', 'xmm0']",5224682837
MOVDQU,"['xmm0', 'xmm1']",2213631317
MASKMOVDQU,"['xmm0', 'xmm0']",32793875797
MASKMOVDQU,"['xmm0', 'xmm1']",32663491925
PADDB,"['xmm0', 'xmm0']",5300475221
PADDB,"['xmm0', 'xmm1']",5272486980
PADDW,"['xmm0', 'xmm0']",5222089796
PADDW,"['xmm0', 'xmm1']",5348773068
PADDD,"['xmm0', 'xmm0']",5222343202
PADDD,"['xmm0', 'xmm1']",5352368810
PADDQ,"['xmm0', 'xmm0']",5224750557
PADDQ,"['xmm0', 'xmm1']",5342807108
PADDSB,"['xmm0', 'xmm0']",5223911697
PADDSB,"['xmm0', 'xmm1']",5353354035
PADDSW,"['xmm0', 'xmm0']",5221561139
PADDSW,"['xmm0', 'xmm1']",5340163822
PADDUSB,"['xmm0', 'xmm0']",5216160972
PADDUSB,"['xmm0', 'xmm1']",5346472755
PADDUSW,"['xmm0', 'xmm0']",5221427882
PADDUSW,"['xmm0', 'xmm1']",5326619716
PSUBB,"['xmm0', 'xmm0']",1528740795
PSUBB,"['xmm0', 'xmm1']",5221641966
PSUBW,"['xmm0', 'xmm0']",1513186918
PSUBW,"['xmm0', 'xmm1']",5350070681
PSUBD,"['xmm0', 'xmm0']",1517213013
PSUBD,"['xmm0', 'xmm1']",5219387528
PSUBQ,"['xmm0', 'xmm0']",1599338359
PSUBQ,"['xmm0', 'xmm1']",5261192942
PSUBSB,"['xmm0', 'xmm0']",1509110579
