,phase,sim_time,real_time,sim_en,real_en
0,"[(3401000.0, 1.0), (3401000.0, 1.0)]",2.8068888187408447,3.473,37.39916603694438,37.404019
1,"[(3401000.0, 1.0), (3401000.0, 2.0)]",2.543029308319092,2.996,34.55001649261713,36.185638
2,"[(3401000.0, 1.0), (3401000.0, 3.0)]",2.6393234729766846,3.056,36.68576247567653,38.752098000000004
3,"[(3401000.0, 1.0), (3401000.0, 4.0)]",2.5253548622131348,3.041,32.31891104111671,37.595057
4,"[(3401000.0, 1.0), (3400000.0, 1.0)]",3.0264368057250977,3.474,32.69349616402626,37.936487
5,"[(3401000.0, 1.0), (3400000.0, 2.0)]",2.6416447162628174,3.045,31.878235613293647,37.698634
6,"[(3401000.0, 1.0), (3400000.0, 3.0)]",2.8069279193878174,3.0860000000000003,32.98596620904684,38.779991
7,"[(3401000.0, 1.0), (3400000.0, 4.0)]",2.563915252685547,3.168,31.747076415226456,35.254793
8,"[(3401000.0, 1.0), (3300000.0, 1.0)]",2.9666521549224854,3.669,32.73015542237282,35.033907
9,"[(3401000.0, 1.0), (3300000.0, 2.0)]",2.627406120300293,3.1710000000000003,31.425673180763717,35.36789
10,"[(3401000.0, 1.0), (3300000.0, 3.0)]",2.7520220279693604,3.034,32.394251949040886,33.567358999999996
11,"[(3401000.0, 1.0), (3300000.0, 4.0)]",2.4778261184692383,3.2619999999999996,30.134084855084417,34.737094
12,"[(3401000.0, 1.0), (3100000.0, 1.0)]",3.0397167205810547,3.6049999999999995,32.52207125366449,34.469393
13,"[(3401000.0, 1.0), (3100000.0, 2.0)]",2.6324548721313477,3.1319999999999997,30.823608224318026,34.238377
14,"[(3401000.0, 1.0), (3100000.0, 3.0)]",2.734591007232666,3.448,30.5626603169775,35.440095
15,"[(3401000.0, 1.0), (3100000.0, 4.0)]",2.5360524654388428,3.3360000000000003,29.861391486349103,33.804173000000006
16,"[(3401000.0, 1.0), (2800000.0, 1.0)]",3.196589946746826,3.612,31.471052447192665,33.489173
17,"[(3401000.0, 1.0), (2800000.0, 2.0)]",2.80715274810791,3.155,29.72926610900879,32.80503
18,"[(3401000.0, 1.0), (2800000.0, 3.0)]",2.9884183406829834,3.152,31.228261321933267,32.491248999999996
19,"[(3401000.0, 1.0), (2800000.0, 4.0)]",2.5449113845825195,3.2680000000000002,28.68773089701652,32.107951
20,"[(3401000.0, 1.0), (2600000.0, 1.0)]",3.4282891750335693,3.955,30.037722014319897,33.046363
21,"[(3401000.0, 1.0), (2600000.0, 2.0)]",2.807194709777832,3.249,30.108590955631733,32.196756
22,"[(3401000.0, 1.0), (2600000.0, 3.0)]",2.942681074142456,3.331,30.17778442391157,33.155677
23,"[(3401000.0, 1.0), (2600000.0, 4.0)]",2.667628288269043,3.4139999999999997,28.23231277146339,32.017069
24,"[(3401000.0, 1.0), (2400000.0, 1.0)]",3.530900478363037,4.021,29.06291799736738,32.474405
25,"[(3401000.0, 1.0), (2400000.0, 2.0)]",2.8738789558410645,3.327,29.299610289514064,31.623210999999998
26,"[(3401000.0, 1.0), (2400000.0, 3.0)]",3.159738540649414,3.378,29.88185681561708,32.258950999999996
27,"[(3401000.0, 1.0), (2400000.0, 4.0)]",2.7395997047424316,3.3739999999999997,28.284468016729353,31.201520000000002
28,"[(3401000.0, 1.0), (2200000.0, 1.0)]",3.8580071926116943,4.212999999999999,28.95426975895643,32.423073
29,"[(3401000.0, 1.0), (2200000.0, 2.0)]",2.946897029876709,3.4000000000000004,28.89074780599117,31.234295000000003
30,"[(3401000.0, 1.0), (2200000.0, 3.0)]",3.139317750930786,3.264,29.49282815555334,30.314008
31,"[(3401000.0, 1.0), (2200000.0, 4.0)]",2.807457685470581,3.856,26.414605372354984,31.836161
32,"[(3401000.0, 1.0), (1900000.0, 1.0)]",4.261937856674194,4.247999999999999,28.566326885766983,31.922404
33,"[(3401000.0, 1.0), (1900000.0, 2.0)]",3.153149366378784,3.358,28.47876705500841,30.027756
34,"[(3401000.0, 1.0), (1900000.0, 3.0)]",3.580794095993042,3.5919999999999996,28.630084855055806,31.691753
35,"[(3401000.0, 1.0), (1900000.0, 4.0)]",3.1146228313446045,3.567,26.956905492324825,30.166305
36,"[(3401000.0, 1.0), (1700000.0, 1.0)]",4.383538484573364,4.635,27.757034368941785,32.090861000000004
37,"[(3401000.0, 1.0), (1700000.0, 2.0)]",3.2726142406463623,3.628,27.702501668903825,30.495832
38,"[(3401000.0, 1.0), (1700000.0, 3.0)]",3.969764471054077,4.25,27.544630734007356,32.045818
39,"[(3401000.0, 1.0), (1700000.0, 4.0)]",3.2873215675354004,4.2330000000000005,25.66795961856365,31.789287
40,"[(3401000.0, 1.0), (1500000.0, 1.0)]",4.4354352951049805,4.811999999999999,27.556897329692838,31.833536000000002
41,"[(3401000.0, 1.0), (1500000.0, 2.0)]",3.20702862739563,3.683,27.248952778773305,30.076399000000002
42,"[(3401000.0, 1.0), (1500000.0, 3.0)]",3.68830943107605,3.9349999999999996,27.536955573878288,31.215374
43,"[(3401000.0, 1.0), (1500000.0, 4.0)]",3.1595327854156494,3.896,26.041397814898488,30.48387
44,"[(3401000.0, 1.0), (1300000.0, 1.0)]",4.578627824783325,4.907,27.983419764740464,32.204386
45,"[(3401000.0, 1.0), (1300000.0, 2.0)]",3.2388429641723633,3.9010000000000002,27.13906510189056,30.554854
46,"[(3401000.0, 1.0), (1300000.0, 3.0)]",3.734527349472046,4.08,27.24206879010916,31.300030999999997
47,"[(3401000.0, 1.0), (1300000.0, 4.0)]",3.187889814376831,4.17,25.33535954450369,31.158551
48,"[(3401000.0, 1.0), (1100000.0, 1.0)]",4.478461742401123,4.955,27.51672779619455,32.167643
49,"[(3401000.0, 1.0), (1100000.0, 2.0)]",3.3391146659851074,3.9690000000000003,27.045963296451568,30.639630999999998
50,"[(3401000.0, 1.0), (1100000.0, 3.0)]",3.8677635192871094,4.247999999999999,27.35726083426237,31.739908
51,"[(3401000.0, 1.0), (1100000.0, 4.0)]",3.1874258518218994,4.1899999999999995,25.531428285319805,31.392986
52,"[(3401000.0, 1.0), (800000.0, 1.0)]",4.69193434715271,4.934,27.97464608393669,32.094155
53,"[(3401000.0, 1.0), (800000.0, 2.0)]",3.342007875442505,3.991,26.937894358446595,30.554669999999998
54,"[(3401000.0, 1.0), (800000.0, 3.0)]",3.7360520362854004,4.11,27.301658148190974,31.387798
55,"[(3401000.0, 1.0), (800000.0, 4.0)]",3.201349973678589,4.319,25.10923293091297,31.580607
56,"[(3401000.0, 1.0), (600000.0, 1.0)]",4.599733829498291,4.996,27.513025672912594,32.258035
57,"[(3401000.0, 1.0), (600000.0, 2.0)]",3.5210347175598145,3.99,27.219039571716785,30.530257
58,"[(3401000.0, 1.0), (600000.0, 3.0)]",3.8366003036499023,4.155,27.4333672896862,31.583658999999997
59,"[(3401000.0, 1.0), (600000.0, 4.0)]",3.27357816696167,4.117,25.909467193176745,31.039594
60,"[(3401000.0, 1.0), (400000.0, 1.0)]",4.631556749343872,5.103,27.259763983449933,32.694985
61,"[(3401000.0, 1.0), (400000.0, 2.0)]",3.4378600120544434,4.032,26.87609158689737,30.678572000000003
62,"[(3401000.0, 1.0), (400000.0, 3.0)]",3.8130173683166504,4.442,26.765920194201467,32.077005
