,2mm_EXTRALARGE_DATASET_mem.dat,2mm_LARGE_DATASET_mem.dat,2mm_MEDIUM_DATASET_mem.dat,3mm_EXTRALARGE_DATASET_mem.dat,3mm_LARGE_DATASET_mem.dat,3mm_MEDIUM_DATASET_mem.dat,adi_EXTRALARGE_DATASET_mem.dat,adi_LARGE_DATASET_mem.dat,adi_MEDIUM_DATASET_mem.dat,atax_EXTRALARGE_DATASET_mem.dat,atax_LARGE_DATASET_mem.dat,bicg_EXTRALARGE_DATASET_mem.dat,bicg_LARGE_DATASET_mem.dat,cholesky_EXTRALARGE_DATASET_mem.dat,cholesky_LARGE_DATASET_mem.dat,cholesky_MEDIUM_DATASET_mem.dat,correlation_EXTRALARGE_DATASET_mem.dat,correlation_LARGE_DATASET_mem.dat,correlation_MEDIUM_DATASET_mem.dat,covariance_EXTRALARGE_DATASET_mem.dat,covariance_LARGE_DATASET_mem.dat,covariance_MEDIUM_DATASET_mem.dat,deriche_EXTRALARGE_DATASET_mem.dat,deriche_LARGE_DATASET_mem.dat,deriche_MEDIUM_DATASET_mem.dat,doitgen_EXTRALARGE_DATASET_mem.dat,doitgen_LARGE_DATASET_mem.dat,doitgen_MEDIUM_DATASET_mem.dat,durbin_EXTRALARGE_DATASET_mem.dat,durbin_LARGE_DATASET_mem.dat,fdtd-2d_EXTRALARGE_DATASET_mem.dat,fdtd-2d_LARGE_DATASET_mem.dat,fdtd-2d_MEDIUM_DATASET_mem.dat,floyd-warshall_EXTRALARGE_DATASET_mem.dat,floyd-warshall_LARGE_DATASET_mem.dat,floyd-warshall_MEDIUM_DATASET_mem.dat,gemm_EXTRALARGE_DATASET_mem.dat,gemm_LARGE_DATASET_mem.dat,gemm_MEDIUM_DATASET_mem.dat,gemver_EXTRALARGE_DATASET_mem.dat,gemver_LARGE_DATASET_mem.dat,gesummv_EXTRALARGE_DATASET_mem.dat,gesummv_LARGE_DATASET_mem.dat,gramschmidt_EXTRALARGE_DATASET_mem.dat,gramschmidt_LARGE_DATASET_mem.dat,gramschmidt_MEDIUM_DATASET_mem.dat,heat-3d_EXTRALARGE_DATASET_mem.dat,heat-3d_LARGE_DATASET_mem.dat,heat-3d_MEDIUM_DATASET_mem.dat,jacobi-1d_EXTRALARGE_DATASET_mem.dat,jacobi-2d_EXTRALARGE_DATASET_mem.dat,jacobi-2d_LARGE_DATASET_mem.dat,jacobi-2d_MEDIUM_DATASET_mem.dat,lu_EXTRALARGE_DATASET_mem.dat,lu_LARGE_DATASET_mem.dat,lu_MEDIUM_DATASET_mem.dat,ludcmp_EXTRALARGE_DATASET_mem.dat,ludcmp_LARGE_DATASET_mem.dat,ludcmp_MEDIUM_DATASET_mem.dat,mvt_EXTRALARGE_DATASET_mem.dat,mvt_LARGE_DATASET_mem.dat,nussinov_EXTRALARGE_DATASET_mem.dat,nussinov_LARGE_DATASET_mem.dat,nussinov_MEDIUM_DATASET_mem.dat,seidel-2d_EXTRALARGE_DATASET_mem.dat,seidel-2d_LARGE_DATASET_mem.dat,seidel-2d_MEDIUM_DATASET_mem.dat,symm_EXTRALARGE_DATASET_mem.dat,symm_LARGE_DATASET_mem.dat,symm_MEDIUM_DATASET_mem.dat,syr2k_EXTRALARGE_DATASET_mem.dat,syr2k_LARGE_DATASET_mem.dat,syr2k_MEDIUM_DATASET_mem.dat,syrk_EXTRALARGE_DATASET_mem.dat,syrk_LARGE_DATASET_mem.dat,syrk_MEDIUM_DATASET_mem.dat,trisolv_EXTRALARGE_DATASET_mem.dat,trisolv_LARGE_DATASET_mem.dat,trmm_EXTRALARGE_DATASET_mem.dat,trmm_LARGE_DATASET_mem.dat,trmm_MEDIUM_DATASET_mem.dat
0,13.68976583901897,13.678704426811677,18.237632926246352,15.146169842555024,15.137712804315788,20.72541138937313,14.448582114691614,14.44232310188353,38.83251730785896,13.964456786595266,13.965331187809937,12.005150673260031,12.00488639894529,9.765640354451168,10.041655242196745,23.152779304861546,12.793136699189684,12.796205292906604,21.510498531564778,11.616585942395057,11.612403690120608,22.97094694546837,13.211363903766857,13.263921134406393,12.634387499898914,15.880037732172262,17.728219742941004,21.998363684688442,10.162325390938998,10.1657305265734,18.781059161362034,18.554903350474536,29.5487671748025,34.019975170002255,34.01544022883831,25.380844745381353,13.69287006233568,13.682565182895496,19.934888040570485,11.514582176472913,11.515735017769732,14.322562153479376,14.31953347241933,13.633337606895909,13.631834798531663,23.212375294189364,39.718167635546855,39.63188339479775,88.7202121511257,17.935061418281556,18.555806310627336,18.54953910658602,29.520563395665786,9.765895725021002,10.097268785103163,24.362881201825275,9.772359706773475,10.048172447575604,23.578429668107002,11.521207411279654,11.523274169536291,9.485087579172065,9.489854819432583,18.234737759015278,21.210264663702013,21.206366926284623,57.84106648144485,20.192969019229047,20.168391419585845,26.165838096507667,17.490551109320503,17.423679354877944,35.79391742768066,13.67528204811021,13.622672738923882,26.512225535929726,11.994192289956391,11.995206868878135,12.874407448785634,12.800250433053836,16.74808565579984
1,17.31405384622562,17.303794263184702,18.809482421853907,17.644771424912676,17.635350795638676,21.387590856904566,21.89058301965101,21.880139883981535,40.13964790109669,13.970345397820775,13.97126283230518,12.012503775046588,12.017716453433133,15.362891219250754,15.477977821620948,27.2713209580316,16.64685297267282,16.645695608327003,22.727044558679886,16.14722142425132,16.140788954799167,23.807667419758403,11.532886786654382,11.479901421088275,12.991149927345626,17.900402998075325,20.62899776473427,22.42146227094512,10.161153107177103,10.170811431689954,23.59338535807148,21.604079521282177,30.71682437918188,25.953794795163144,25.950278799048732,22.26783701040228,17.315295463854284,17.30452920314062,20.36632675192301,11.505744732134398,11.507816120906599,14.326610546776703,14.332159041137613,17.147951234878782,17.14033155107195,24.323427758487426,79.84214039908665,79.59974379048202,109.91703510958986,17.945816999490482,26.283734277948156,26.274784045218574,30.52756018789585,15.362996373323785,15.50161140999445,27.844139746200533,15.365748135551609,15.480753143389169,27.39970552842148,11.510543349634034,11.51494281209936,15.837626058232628,15.864702615379953,19.44880453479183,40.06464847873498,40.05599322608748,71.5209968660611,20.06586384846791,20.026976901286925,26.66763864458058,24.361745715976287,24.26614381640245,38.53395967547356,17.289428673153537,17.218722068150363,27.141531021155192,11.99376815412525,12.000926608186179,12.656150211261526,12.621747425912943,16.878005308981496
2,19.544387349479287,19.534636436557758,19.244757564345402,19.182369407503842,19.172359684733365,21.861790404714426,26.470506133585573,26.45708166451756,40.994793785975496,13.975582297957422,13.976479678061132,12.01723591330135,12.026193718164988,18.80735482834137,18.823408681830017,29.822753225264066,19.018369373167268,19.014075531469086,23.681403769711842,18.935306263267044,18.927490319030625,24.442509357612273,10.197676026204219,10.03608854577256,12.64487516462287,19.143673971087104,22.414506021168876,22.705333063243494,10.160359726079779,10.175236165777658,26.507292999577064,23.597924522156497,31.47207982340998,20.98999173347066,20.987102712111422,20.3521401296262,19.54486589152316,19.533368726295794,20.709723631082245,11.500222527519993,11.502224954828366,14.329475241684541,14.342190225983584,19.310849438123533,19.299186293044773,25.071003930039353,104.53382544923551,104.19535845046516,123.31865656679663,17.955318313990546,31.03938483937589,31.028782031932558,31.23147821272924,18.80736805501399,18.827359337681408,29.989270552112163,18.807833360334413,18.823879231235928,29.780489831224234,11.503801256097889,11.50885807294809,19.745547179769993,19.784902324272203,20.241741204550557,51.66734321888002,51.65576253047659,80.03292251629144,19.988973459820908,19.944528524990154,27.063913147953336,28.59295169351485,28.486950052259132,40.62910351809496,19.515501183312217,19.439492803192298,27.65040516402614,11.99347474141495,12.00592279166657,12.521830972742931,12.51187771786253,16.95998438672983
3,20.659556710906593,20.650078289397875,19.560854649410658,19.951164992937954,19.940865173813727,22.176988048300693,28.76073629584826,28.745372581416014,41.48172540529388,13.980199257599693,13.981023048301207,12.019650195810282,12.030815377203732,20.52958836059917,20.496126317143947,31.118240791372106,20.20412625564771,20.19763594193584,24.403362334860244,20.32935029279116,20.32084408555593,24.901585498458918,9.152157687367676,8.889724455191118,11.773385761891266,19.76527705373267,23.30774571484994,22.874697038881763,10.159902485399364,10.179032827742333,27.920766314958417,24.743362348408525,31.892749108632238,18.508090496838204,18.505514806993247,19.394291902723733,20.660086438571227,20.647707193503905,20.974503115618518,11.497363573233745,11.498610965781795,14.331344051866175,14.349820531137341,20.392351286572598,20.378395145603523,25.519361245034368,116.87967897655841,116.49317348583742,130.4369247731091,17.963637019944283,33.417213167568825,33.40578226485115,31.681821433971646,20.529556253326945,20.490231726036647,31.065120492029685,20.528875989741092,20.495441708848432,31.00501685726536,11.500220454942298,11.504720844850539,21.697913456321697,21.741616327892284,20.691425551574476,57.46868738959536,57.45564636361464,84.39808965608154,19.952136975336128,19.908817058623974,27.366570052755318,30.711932559055967,30.609436221087314,42.16098351169843,20.630937186347836,20.559252699247033,28.050811155598385,11.993299156608359,12.010226016597814,12.454661939438722,12.456914030175673,17.00129853692281
4,20.93835229263415,20.92896716417209,19.77516997273948,20.14335938382442,20.13299296509365,22.362161803161346,29.333658345792042,29.317236772601326,41.68421320185035,13.984228047342082,13.984934266248816,12.020049730359345,12.03207861461224,20.960148994900308,20.914309221882704,31.468948341168883,20.50056397508885,20.492667719330253,24.922706424324677,20.677863346172582,20.669186557116028,25.211008581727278,8.342757835096064,7.998051096075806,10.55450426931143,19.9206386485371,23.53171804838258,22.954275175158124,10.15973862288819,10.182229516489796,28.231789533295164,25.2473169953493,32.057047835994084,17.88761559717918,17.885117922661056,19.15483012936549,20.939462198227396,20.926168045907858,21.170089643102145,11.496515879879697,11.496623600013654,14.332404790984889,14.355243460778981,20.6627758501684,20.647954229901586,25.7327571396617,119.96615717162027,119.56763500768906,132.78368797889036,17.97084477551423,34.01167443518523,34.00003394209752,31.928093815428763,20.96010645149798,20.905947732932773,31.33853643842262,20.959136632390862,20.913331573959233,31.357520887294967,11.49904027043834,11.50223202057476,22.183787400425267,22.226007008023164,20.87573535914661,58.91901949633922,58.90561624966429,85.63774450937706,19.945193517061647,19.907613270116823,27.58751780511591,31.24645182971941,31.156940481526323,43.21123421243759,20.913174290021967,20.85226951151191,28.35471218692774,11.993228504488346,12.013866880258409,12.437855317557773,12.443129084125442,17.009223407438427
5,20.65956445678865,20.650150403347503,19.905099830021744,19.951153782772735,19.940868760787065,22.44628968479442,28.76165712276998,28.74489837599805,41.6860276184435,13.987700437779115,13.988254655127406,12.018737624734529,12.03048061445341,20.52959391012105,20.49613589036637,31.186040559467653,20.204122886465434,20.195461743255382,25.269222208304804,20.329355256760305,20.320854036451955,25.39689134684636,7.715902534340675,7.318310415158474,9.166053237043965,19.765185158025524,23.309424224371977,22.968788449370834,10.15982537629862,10.184854330925898,27.838346883667032,25.31671245828995,32.04319160664103,18.508091546407005,18.505514898081685,19.394292609222102,20.661498263720652,20.647374724650614,21.305907651103496,11.497027458061917,11.495912303770728,14.332845272703999,14.358652519088636,20.392442198853445,20.377859667092395,25.77544905011065,116.87971622498658,116.49318912711077,131.87079443450386,17.977013238862952,33.41722381488353,33.40578626179498,32.019799320906365,20.529564132762513,20.490226516242444,31.07636526376059,20.52887589690301,20.49543982430096,31.122236202063252,11.499500026857119,11.50109249288884,21.692231524618315,21.72923674644787,20.872548410550035,57.4686780445701,57.455643712788486,84.7731333001239,19.95798220704559,19.92868792739719,27.73866485116456,30.72427302262505,30.652800992215624,43.861490176466134,20.639650102096265,20.592810995184344,28.5740714490701,11.993249889837813,12.016875979926889,12.454623313308986,12.456795600984933,16.991034646154684
6,19.990464650817508,19.98096693960742,19.96845186882709,19.48987385505244,19.479767561359033,22.46490418340651,27.38793000732993,27.372053298973704,41.60539359653485,13.990648199505205,13.99102553816033,12.016016986721748,12.026518560790077,19.4962556220444,19.492514079106225,30.51062312222514,19.492672366891796,19.4829192909452,25.47269585700008,19.49292953550619,19.484853935163784,25.48603450296424,7.395981485482643,7.017664081858582,8.137730374760961,19.392281553468464,22.775542800891458,22.954876295630505,10.160119983382943,10.186935369956405,27.270250360225926,24.650423223463772,31.9441107927555,19.99723268727028,19.994466374886702,19.969001675510547,19.992783849635355,19.97850892751609,21.3913815771928,11.49828368541897,11.496126523299738,14.332902854880508,14.360241210246338,19.74350479936,19.73050269736321,25.73860082347408,109.47219750599345,109.11445989299304,129.38694216330867,17.982214068152917,31.99053117846813,31.979587177180083,32.021601795732956,19.49625347305667,19.49250217611239,30.449209854649208,19.496248913106896,19.49250196554048,30.55123202218965,11.500750285021526,11.501003154560777,20.517554490970106,20.545215441451678,20.79292603466773,53.98788146403192,53.975709908481356,82.6841634631014,19.984925757023955,19.967127059569417,27.83191963703052,29.46082891392714,29.417050660995507,44.19529467159469,19.977877254522273,19.950858574699332,28.72085213308112,11.993350417439569,12.0192839128817,12.494813169399404,12.489681799248295,16.954007900949488
7,19.990459205829907,19.980920811876043,19.98415041920563,19.48987014594763,19.479768226414592,22.44713799236489,27.388095983447336,27.37238150513037,41.525082216212255,13.993103103114889,13.993288238571026,12.012190924106985,12.020689637685138,19.496256485924892,19.492523068585818,30.400881194579586,19.492674651243135,19.484297226510655,25.563457868835098,19.49293040600689,19.48484210658653,25.507106366428765,6.877962808265031,6.569433285501601,6.994060374344119,19.392291007726154,22.77419078109939,22.930844370983138,10.160579681893514,10.188500732487164,26.605930703837394,25.327173877876007,31.885790546781937,19.99723387367714,19.994465528988464,19.96900258144568,19.992939272805536,19.97800973423985,21.4359436751597,11.498683555054681,11.49691570484747,14.332760693728991,14.360203038432218,19.74573048018729,19.7313822809288,25.678836191888355,109.47220660531283,109.11444993308316,128.15113450489497,17.98651892154669,31.990534770343377,31.979585542654558,31.980494702460405,19.496257280956478,19.49241428137456,30.426783987153733,19.496250739475798,19.49250296789039,30.39862449529531,11.501372056579434,11.501664898358655,20.51627506596143,20.54357526054891,20.71086155491973,53.98784554036237,53.975713894408756,82.17527489156373,19.985390868432813,19.967115677037132,27.87941167698715,29.463350581589435,29.414936872681377,44.30137247803675,19.97804352939111,19.947993800685015,28.80702240622853,11.993517192076517,12.021121276401374,12.494891465379412,12.489608168487072,16.905418819700863
8,19.99045741106556,19.98092304696949,19.970537939463856,19.48987353996177,19.479766181201747,22.416647637192227,27.387550119953733,27.372797270875854,41.475844927401084,13.995096919202652,13.995084079582917,12.007562544676206,12.013491029201468,19.4962519048028,19.492526516074566,30.44476495543073,19.492671590579153,19.484304471815815,25.57387997307786,19.49292652406141,19.484840423941975,25.48780209615334,6.030277508812151,5.781404347239876,5.9942293422115265,19.392268346291726,22.774189598675775,22.904206966265953,10.161161709582672,10.189578517423994,27.611453811725408,25.877460568492058,31.851341789743376,19.99723355707728,19.994464384960324,19.96900188941751,19.99190656651073,19.977874640939824,21.449433257362074,11.49862663323301,11.497923799319219,14.332562178821501,14.358731507826368,19.744734484881956,19.73171750883595,25.628644695815154,109.47221273290852,109.1144233411518,127.98624804989129,17.989999457206803,31.990535372197954,31.979587647891442,31.93112701834739,19.49625657769496,19.492521533953973,30.43848826960069,19.496250126433843,19.492499962226756,30.434107226046216,11.501454558708538,11.50277861705053,20.51489043968176,20.541392807127508,20.6563163987057,53.987870926151736,53.97571300941325,82.31483082434332,19.986108893694677,19.968981411954836,27.894099490847413,29.469682550080204,29.418482621174025,44.265748436041406,19.97955051461226,19.95025294326845,28.844809590441734,11.993737318531519,12.022418667764413,12.494942664434328,12.489537964529854,16.852543050286776
9,19.9904547747152,19.980924561233582,19.94362145858325,19.48987412642282,19.47976654620423,22.388896791967404,27.389451604585886,27.37346385580358,41.46242792912917,13.996661418362978,13.996454384419408,12.002434956215378,12.005419919401948,19.49625096084874,19.492530384481878,30.43437232849891,19.492672867660836,19.48430817430405,25.535668608943684,19.492926333086512,19.48483918664607,25.451910938047227,5.703419263391355,5.581503444394674,5.433960075548626,19.39229025702803,22.774215527234393,22.882225828786734,10.161823304202754,10.19019682367272,27.220065061853823,25.81232186954061,31.826591354466824,19.99723328638586,19.994464477868185,19.96900139996662,19.991746949606476,19.978199415665358,21.442179533985346,11.498584701374451,11.49872152669991,14.332398158119496,14.356020122608896,19.74116463026694,19.731639469371906,25.601650467591362,109.47225776498193,109.1143594820203,128.19691619141705,17.9927273332958,31.990540814322852,31.97957444605276,31.8939130508474,19.496252289848254,19.492605082717724,30.4337282882576,19.496246718434787,19.4924986821869,30.44195103274092,11.501348171838435,11.50404520340446,20.5141097396586,20.539983766134416,20.63533258400797,53.98791651911224,53.975721459170664,82.32554018985887,19.986770387389814,19.970798773560837,27.888671404026155,29.471255670029166,29.42184712950104,44.16361077274169,19.979726168894157,19.95264683949411,28.846752902094035,11.993997901587452,12.02320668424932,12.494980858162723,12.48946625415132,16.802656240585222
