,app,nphases,usable,energy,mean_energy,max_energy,phases
25,completo_ferret_2.json,28,9999,1662.71,1675.42,1664.2,"['0', '0.00449706', '0.15387', '0.206178', '0.268536', '0.326052', '0.326063', '0.326065', '0.341009', '0.347282', '0.356087', '0.374731', '0.379304', '0.685405', '0.718206', '0.731287', '0.739113', '0.747255', '0.760882', '0.77801', '0.798577', '0.879339', '0.892865', '0.952679', '0.972921', '0.978452', '0.997387', '1']"
26,completo_ferret_2.json,29,9999,1662.71,1672.71,1664.21,"['0', '0.0456622', '0.117655', '0.181701', '0.326067', '0.34101', '0.348536', '0.373929', '0.413429', '0.431149', '0.440255', '0.456643', '0.469523', '0.478757', '0.680619', '0.685346', '0.709256', '0.710401', '0.792867', '0.79551', '0.814173', '0.817529', '0.822854', '0.836532', '0.883202', '0.943521', '0.957785', '0.979169', '1']"
27,completo_ferret_2.json,30,9999,1662.71,1672.04,1664.15,"['0', '0.025287', '0.047784', '0.0848126', '0.322481', '0.326065', '0.326065', '0.338369', '0.341014', '0.399512', '0.419467', '0.421045', '0.423', '0.428327', '0.635141', '0.647647', '0.652576', '0.665408', '0.696656', '0.72701', '0.7507', '0.775683', '0.801732', '0.811359', '0.838423', '0.875421', '0.876588', '0.974213', '0.986549', '1']"
28,completo_ferret_2.json,31,9999,1662.71,1673.25,1664.11,"['0', '0.0589174', '0.153812', '0.181127', '0.208725', '0.22833', '0.228942', '0.274605', '0.299489', '0.299941', '0.301001', '0.326066', '0.341017', '0.341019', '0.358049', '0.661852', '0.713946', '0.719876', '0.723627', '0.758233', '0.76158', '0.803516', '0.830293', '0.844084', '0.897742', '0.922408', '0.9381', '0.971061', '0.992629', '0.993259', '1']"
29,completo_ferret_2.json,32,9999,1662.71,1672.49,1664.07,"['0', '0.0605033', '0.067358', '0.0861642', '0.0921337', '0.167455', '0.17729', '0.299215', '0.308719', '0.325996', '0.326066', '0.32607', '0.337832', '0.341009', '0.425799', '0.437901', '0.639762', '0.653787', '0.664843', '0.678767', '0.678842', '0.710151', '0.71295', '0.713399', '0.722588', '0.843082', '0.897555', '0.925542', '0.96527', '0.975376', '0.980198', '1']"
30,completo_ferret_2.json,33,9999,1662.71,1674.78,1664.05,"['0', '0.0226806', '0.149206', '0.197682', '0.218058', '0.285969', '0.29349', '0.304102', '0.32605', '0.32606', '0.326064', '0.341009', '0.341011', '0.351266', '0.352085', '0.357344', '0.358197', '0.358312', '0.376757', '0.38413', '0.441091', '0.446398', '0.546376', '0.59198', '0.718526', '0.752136', '0.872953', '0.874655', '0.876021', '0.930482', '0.94752', '0.955211', '1']"
31,completo_ferret_2.json,34,9999,1662.71,1672.08,1664.07,"['0', '0.0384747', '0.0434523', '0.0530442', '0.101426', '0.105973', '0.131117', '0.269562', '0.316855', '0.326065', '0.341012', '0.341027', '0.358291', '0.377883', '0.378243', '0.393891', '0.39491', '0.650241', '0.748442', '0.766775', '0.78287', '0.80369', '0.828235', '0.828546', '0.846399', '0.856729', '0.87211', '0.885244', '0.9022', '0.924412', '0.950157', '0.958051', '0.985254', '1']"
32,completo_ferret_2.json,35,9999,1662.71,1671.19,1663.96,"['0', '0.0770051', '0.0784027', '0.18741', '0.303757', '0.31068', '0.326042', '0.326069', '0.341009', '0.344818', '0.355492', '0.380128', '0.426247', '0.430988', '0.433727', '0.460345', '0.460345', '0.679098', '0.683257', '0.702613', '0.722991', '0.774396', '0.776118', '0.776591', '0.797153', '0.800684', '0.820873', '0.860185', '0.896856', '0.906849', '0.913215', '0.938422', '0.946191', '0.979098', '1']"
33,completo_ferret_2.json,36,9999,1662.71,1671.36,1663.93,"['0', '0.0360168', '0.0751861', '0.0878851', '0.136358', '0.32597', '0.326067', '0.332178', '0.337258', '0.34101', '0.341035', '0.343558', '0.35732', '0.364228', '0.369787', '0.369787', '0.488193', '0.537788', '0.662075', '0.691565', '0.715319', '0.720835', '0.744378', '0.76718', '0.779283', '0.803035', '0.80373', '0.825259', '0.832173', '0.846467', '0.856359', '0.866266', '0.885405', '0.931084', '0.950553', '1']"
34,completo_ferret_2.json,37,9999,1662.71,1670.29,1663.95,"['0', '0.0195997', '0.0350631', '0.119748', '0.17611', '0.224991', '0.251128', '0.262894', '0.295193', '0.326067', '0.341011', '0.362411', '0.396874', '0.398341', '0.415503', '0.415934', '0.417176', '0.423076', '0.601236', '0.656374', '0.67404', '0.711655', '0.744121', '0.806849', '0.824469', '0.840055', '0.860351', '0.869174', '0.873555', '0.891591', '0.941057', '0.944579', '0.968516', '0.974562', '0.978479', '0.982664', '1']"
35,completo_ferret_2.json,38,9999,1662.71,1672.8,1663.89,"['0', '0.0276795', '0.0320652', '0.0554475', '0.0894018', '0.18366', '0.193028', '0.294695', '0.326062', '0.341011', '0.341032', '0.34141', '0.344491', '0.34957', '0.355906', '0.363474', '0.363916', '0.363916', '0.660334', '0.693799', '0.73904', '0.739428', '0.746187', '0.746657', '0.759548', '0.772662', '0.781913', '0.791702', '0.805759', '0.839703', '0.841892', '0.854801', '0.887446', '0.95545', '0.955861', '0.984475', '0.996675', '1']"
36,completo_ferret_2.json,39,9999,1662.71,1671.37,1663.89,"['0', '0.167079', '0.191248', '0.202601', '0.270727', '0.292262', '0.317949', '0.326048', '0.326059', '0.326064', '0.326656', '0.341016', '0.341032', '0.37126', '0.413844', '0.424239', '0.42688', '0.447657', '0.450566', '0.678619', '0.679704', '0.69756', '0.728613', '0.738892', '0.742569', '0.753209', '0.778599', '0.801408', '0.802219', '0.814387', '0.878316', '0.905634', '0.909201', '0.932475', '0.935088', '0.942097', '0.952163', '0.967724', '1']"
37,completo_ferret_2.json,40,9999,1662.71,1671.07,1663.84,"['0', '0.0143345', '0.0206389', '0.029292', '0.0368354', '0.0477632', '0.0572514', '0.096059', '0.103634', '0.171908', '0.173849', '0.198941', '0.323357', '0.324709', '0.326069', '0.330744', '0.332018', '0.336226', '0.341009', '0.341013', '0.655475', '0.672077', '0.72811', '0.729581', '0.739595', '0.75396', '0.78225', '0.837241', '0.84485', '0.84651', '0.856918', '0.878544', '0.898385', '0.907496', '0.915659', '0.931864', '0.938582', '0.975702', '0.992147', '1']"
38,completo_ferret_2.json,41,9999,1662.71,1672.17,1663.84,"['0', '0.0697876', '0.0971582', '0.145416', '0.164593', '0.172878', '0.227767', '0.271105', '0.291677', '0.326059', '0.326067', '0.341011', '0.341017', '0.341033', '0.358753', '0.371552', '0.375269', '0.375724', '0.403179', '0.472292', '0.675376', '0.712468', '0.731714', '0.742585', '0.744998', '0.757909', '0.779226', '0.785701', '0.803149', '0.814296', '0.847632', '0.84794', '0.879453', '0.886735', '0.89643', '0.908244', '0.936471', '0.946262', '0.961036', '0.99772', '1']"
39,completo_ferret_2.json,42,9999,1662.71,1670.05,1663.85,"['0', '0.0296487', '0.145117', '0.167737', '0.172677', '0.192688', '0.238465', '0.269346', '0.274477', '0.287515', '0.326067', '0.341012', '0.341066', '0.368548', '0.373355', '0.37686', '0.389826', '0.445404', '0.451602', '0.524656', '0.535708', '0.665095', '0.668582', '0.671216', '0.694885', '0.700618', '0.754208', '0.772171', '0.787354', '0.795827', '0.811061', '0.835138', '0.86297', '0.873533', '0.893451', '0.900751', '0.927435', '0.939499', '0.947872', '0.9524', '0.966375', '1']"
40,completo_ferret_2.json,43,9999,1662.71,1672.02,1663.76,"['0', '0.00825033', '0.0495899', '0.16252', '0.178577', '0.199729', '0.236674', '0.244679', '0.26577', '0.305922', '0.325973', '0.326065', '0.341012', '0.341013', '0.341025', '0.34257', '0.374682', '0.385817', '0.397896', '0.402733', '0.55877', '0.639766', '0.64589', '0.654485', '0.65453', '0.679634', '0.680722', '0.718692', '0.73678', '0.737163', '0.743663', '0.757397', '0.788655', '0.796703', '0.815251', '0.840317', '0.910167', '0.93408', '0.94819', '0.972972', '0.989638', '0.999935', '1']"
41,completo_ferret_2.json,44,9999,1662.71,1671.69,1663.77,"['0', '0.0443717', '0.140336', '0.16236', '0.172185', '0.195924', '0.275763', '0.326066', '0.339429', '0.341005', '0.341006', '0.341007', '0.360372', '0.364573', '0.365208', '0.365226', '0.367452', '0.370669', '0.376616', '0.383328', '0.394705', '0.444602', '0.446495', '0.4483', '0.450759', '0.453126', '0.481776', '0.540236', '0.556845', '0.558585', '0.558628', '0.568794', '0.592172', '0.6252', '0.649019', '0.717135', '0.720884', '0.726082', '0.807907', '0.907873', '0.929969', '0.931214', '0.997564', '1']"
42,completo_ferret_2.json,45,9999,1662.71,1671.09,1663.74,"['0', '0.0500575', '0.10933', '0.120244', '0.160613', '0.171343', '0.197652', '0.234112', '0.296052', '0.298587', '0.320133', '0.326065', '0.326065', '0.341009', '0.341012', '0.350222', '0.360395', '0.386027', '0.391339', '0.396523', '0.415898', '0.439693', '0.601012', '0.601012', '0.635993', '0.664888', '0.683093', '0.712122', '0.721848', '0.724088', '0.730536', '0.774486', '0.782685', '0.802644', '0.805228', '0.815523', '0.821817', '0.866918', '0.879219', '0.879441', '0.94089', '0.979265', '0.992042', '0.998198', '1']"
43,completo_ferret_2.json,46,9999,1662.71,1671.71,1663.71,"['0', '0.0623767', '0.118315', '0.127309', '0.129841', '0.224326', '0.229734', '0.233072', '0.309772', '0.326059', '0.34101', '0.341018', '0.341041', '0.342611', '0.354166', '0.354347', '0.371688', '0.392688', '0.40723', '0.40723', '0.410028', '0.411971', '0.442912', '0.654728', '0.690908', '0.697214', '0.706425', '0.71856', '0.722202', '0.75083', '0.753598', '0.756048', '0.776034', '0.822469', '0.824897', '0.850845', '0.867568', '0.885261', '0.905371', '0.929991', '0.94719', '0.950385', '0.967436', '0.977935', '0.990329', '1']"
44,completo_ferret_2.json,47,9999,1662.71,1670.64,1663.69,"['0', '0.0073975', '0.0380918', '0.0403212', '0.0518701', '0.0659117', '0.136463', '0.149193', '0.149798', '0.15591', '0.173343', '0.185588', '0.225326', '0.251175', '0.25201', '0.289369', '0.321333', '0.326033', '0.326064', '0.326068', '0.341013', '0.341867', '0.343116', '0.64668', '0.662052', '0.666155', '0.676833', '0.691241', '0.711405', '0.728316', '0.792244', '0.794707', '0.802502', '0.809246', '0.819508', '0.823424', '0.862653', '0.89729', '0.90391', '0.925586', '0.951349', '0.952857', '0.961389', '0.963889', '0.979526', '0.987271', '1']"
45,completo_ferret_2.json,48,9999,1662.71,1669.7,1663.68,"['0', '0.0561828', '0.0749532', '0.10933', '0.125072', '0.160613', '0.197652', '0.224932', '0.238272', '0.298587', '0.320133', '0.324974', '0.326065', '0.326065', '0.338223', '0.341009', '0.341012', '0.376252', '0.378313', '0.391339', '0.425926', '0.430954', '0.431098', '0.438022', '0.590367', '0.605441', '0.616791', '0.634471', '0.670094', '0.684437', '0.737505', '0.740026', '0.755662', '0.80217', '0.834094', '0.840535', '0.845344', '0.852218', '0.853406', '0.893978', '0.936403', '0.943855', '0.949933', '0.955748', '0.967415', '0.970904', '0.973897', '1']"
46,completo_ferret_2.json,49,9999,1662.71,1670.42,1663.66,"['0', '0.0196725', '0.0871536', '0.0975396', '0.178131', '0.194263', '0.214082', '0.2235', '0.239657', '0.241061', '0.281694', '0.323165', '0.32605', '0.326062', '0.326068', '0.331074', '0.335611', '0.33831', '0.341014', '0.341016', '0.34102', '0.344066', '0.38724', '0.420142', '0.590395', '0.64866', '0.648703', '0.674409', '0.677245', '0.678671', '0.708152', '0.730105', '0.746321', '0.751498', '0.760866', '0.771169', '0.809058', '0.809763', '0.81434', '0.820472', '0.840748', '0.846387', '0.880008', '0.886099', '0.893471', '0.940651', '0.962793', '0.975703', '1']"
47,completo_ferret_2.json,50,9999,1662.71,1670.75,1663.64,"['0', '0.0067618', '0.0464155', '0.0689962', '0.103147', '0.166522', '0.30949', '0.318579', '0.326054', '0.326062', '0.329726', '0.330746', '0.330966', '0.333291', '0.341006', '0.341012', '0.341022', '0.359421', '0.396581', '0.396581', '0.397792', '0.400938', '0.404674', '0.432424', '0.438642', '0.674786', '0.684284', '0.686642', '0.756783', '0.771382', '0.781204', '0.795961', '0.80301', '0.826515', '0.840629', '0.867315', '0.879749', '0.882465', '0.884836', '0.898673', '0.91952', '0.92674', '0.930439', '0.933535', '0.961226', '0.967588', '0.985762', '0.992482', '0.993904', '1']"
48,completo_ferret_2.json,51,9999,1662.71,1670.16,1663.63,"['0', '0.0782009', '0.0792554', '0.126362', '0.143979', '0.20462', '0.263005', '0.27459', '0.279798', '0.293312', '0.303888', '0.325898', '0.326054', '0.326063', '0.340422', '0.34103', '0.348134', '0.360455', '0.365701', '0.411893', '0.421498', '0.427812', '0.432954', '0.457477', '0.647106', '0.667029', '0.672842', '0.698955', '0.704683', '0.713505', '0.719727', '0.726164', '0.729052', '0.746717', '0.76613', '0.779342', '0.806941', '0.842003', '0.895575', '0.900533', '0.916666', '0.920406', '0.928835', '0.947249', '0.949511', '0.955798', '0.974871', '0.982687', '0.98686', '0.999492', '1']"
49,completo_ferret_2.json,52,9999,1662.71,1669.64,1663.6,"['0', '0.000717804', '0.0988092', '0.151607', '0.197255', '0.208215', '0.266338', '0.275678', '0.30767', '0.312039', '0.313301', '0.326047', '0.326051', '0.341011', '0.353746', '0.36919', '0.398703', '0.408193', '0.415393', '0.42013', '0.424259', '0.424572', '0.467099', '0.471843', '0.477189', '0.483572', '0.600908', '0.63378', '0.637249', '0.647619', '0.667516', '0.677809', '0.690454', '0.694445', '0.737885', '0.739322', '0.746182', '0.750549', '0.773886', '0.800713', '0.809902', '0.825118', '0.830841', '0.840652', '0.845915', '0.859159', '0.894888', '0.9027', '0.909584', '0.932337', '0.973834', '1']"
50,completo_ferret_2.json,53,9999,1662.71,1670.42,1663.63,"['0', '0.00550828', '0.0379448', '0.0423865', '0.0518003', '0.0995224', '0.122128', '0.157794', '0.17232', '0.184765', '0.196457', '0.216238', '0.261247', '0.261367', '0.281211', '0.326052', '0.326071', '0.341005', '0.341013', '0.341028', '0.390541', '0.399976', '0.403235', '0.426325', '0.426518', '0.453725', '0.612639', '0.614505', '0.616999', '0.629702', '0.650398', '0.650871', '0.665914', '0.680404', '0.711095', '0.741825', '0.747445', '0.761349', '0.779237', '0.786084', '0.793409', '0.803472', '0.805193', '0.853964', '0.877442', '0.893056', '0.907183', '0.911292', '0.946618', '0.956548', '0.960027', '0.972542', '1']"
51,completo_ferret_2.json,54,9999,1662.71,1669.36,1663.59,"['0', '0.0196125', '0.115816', '0.144308', '0.236108', '0.268978', '0.28635', '0.31469', '0.325971', '0.326048', '0.326068', '0.327243', '0.331598', '0.341009', '0.34424', '0.352062', '0.382964', '0.387175', '0.388283', '0.388857', '0.388887', '0.397217', '0.410723', '0.430275', '0.46893', '0.469166', '0.58154', '0.659431', '0.671292', '0.712318', '0.728045', '0.737816', '0.742306', '0.768195', '0.774309', '0.777701', '0.780285', '0.794232', '0.817462', '0.82425', '0.828956', '0.83767', '0.871147', '0.893147', '0.908065', '0.916877', '0.921554', '0.922354', '0.923518', '0.935943', '0.937473', '0.989353', '0.990902', '1']"
52,completo_ferret_2.json,55,9999,1662.71,1669.55,1663.59,"['0', '0.0669975', '0.0988092', '0.123306', '0.145206', '0.197255', '0.21068', '0.211286', '0.213223', '0.214766', '0.266338', '0.326047', '0.326052', '0.326064', '0.341011', '0.344095', '0.349896', '0.357543', '0.36919', '0.369781', '0.379264', '0.391673', '0.398703', '0.410837', '0.423899', '0.434374', '0.439687', '0.627492', '0.658468', '0.663955', '0.697526', '0.700454', '0.707099', '0.738754', '0.751421', '0.768099', '0.772544', '0.775953', '0.78341', '0.797371', '0.8254', '0.861437', '0.882075', '0.885295', '0.898295', '0.914986', '0.934879', '0.941018', '0.941248', '0.945071', '0.948133', '0.965445', '0.982247', '0.996135', '1']"
53,completo_ferret_2.json,56,9999,1662.71,1668.8,1663.52,"['0', '0.0160773', '0.0642855', '0.0808531', '0.114822', '0.118703', '0.119319', '0.147117', '0.174093', '0.175', '0.18487', '0.224801', '0.229626', '0.230746', '0.244753', '0.255503', '0.326052', '0.32606', '0.329073', '0.341009', '0.376668', '0.390212', '0.392272', '0.433126', '0.437106', '0.440145', '0.443038', '0.443038', '0.690969', '0.748334', '0.754025', '0.759857', '0.765004', '0.802609', '0.825999', '0.829301', '0.836688', '0.837128', '0.837864', '0.841335', '0.84843', '0.889545', '0.895478', '0.898375', '0.902228', '0.912057', '0.913425', '0.914083', '0.915649', '0.916607', '0.926131', '0.951454', '0.959538', '0.959854', '0.997776', '1']"
