,cores,frequency,input,regions,total_time,rapl_sample-sysfs_power,energy
0,1,1.2,1,0,29.374895668029787,27.375844143835614,8.041625655494153
1,1,1.2,1,1,601.2208986282349,27.10966570506353,162.98897576709336
2,1,1.2,1,2,14.740161609649657,27.267339959450577,4.019249976675595
3,1,1.4,1,0,25.31402716636658,28.616252867793328,7.243926024949357
4,1,1.4,1,1,525.2017307758331,28.33032957049606,148.79138123874293
5,1,1.4,1,2,12.91859540939331,28.514446660796438,3.6836659973355523
6,1,1.6,1,0,22.11098518371582,29.822755154933958,6.594104973683293
7,1,1.6,1,1,449.431600189209,29.57944993886388,132.93939518740194
8,1,1.6,1,2,10.977487373352051,29.739722179353663,3.264674247108528
9,1,1.8,1,0,19.629482889175414,31.929169467077656,6.26753085719583
10,1,1.8,1,1,400.31358003616333,31.313809456001444,125.35343167902201
11,1,1.8,1,2,9.797728395462036,31.6862229363783,3.104530062086941
12,1,2.0,1,0,17.577115392684938,33.57448138147784,5.90142533491788
13,1,2.0,1,1,358.7162172317505,32.85538108289266,117.85758017762869
14,1,2.0,1,2,8.954276037216186,33.25794275458791,2.978007998545142
15,1,2.2,1,0,15.966214561462403,35.360497509433955,5.645732902356794
16,1,2.2,1,1,325.899307346344,34.93144043625532,113.84132242785682
17,1,2.2,1,2,9.018968391418458,34.457548347883936,3.107715393953385
18,10,1.2,1,0,29.031188201904296,34.066674256055364,9.889960317405112
19,10,1.2,1,1,59.97434253692627,40.50793689621462,24.294368828777696
20,10,1.2,1,2,15.324517583847046,34.02380024671229,5.213983251500419
21,10,1.4,1,0,24.93560242652893,35.71365412903226,8.905414805601117
22,10,1.4,1,1,51.425184392929076,43.509006629309816,22.37458688665431
23,10,1.4,1,2,12.576282978057861,35.66993807236404,4.485952350078499
24,10,1.6,1,0,21.791458320617675,37.05781598156682,8.075438524154329
25,10,1.6,1,1,44.87763466835022,46.40736359731543,20.826527094416168
26,10,1.6,1,2,12.009799480438232,36.67883217446325,4.405054195919499
27,10,1.8,1,0,19.366216802597044,41.517168829015546,8.04030492572739
28,10,1.8,1,1,39.84345541000366,52.34323905793451,20.85535511419976
29,10,1.8,1,2,10.459463500976563,40.84689383342423,4.272365951789654
30,10,2.0,1,0,17.429223203659056,44.529554658959526,7.761155473105416
31,10,2.0,1,1,35.844118404388425,57.33123154512308,20.549874517728004
32,10,2.0,1,2,8.84364161491394,44.397663677892794,3.926370261067658
33,10,2.2,1,0,15.853625583648682,47.17934192405063,7.479636221468379
34,10,2.2,1,1,32.57854061126709,62.33140984567901,20.30666367014987
35,10,2.2,1,2,8.01637797355652,47.21022439602986,3.7845500297499437
36,12,1.2,1,0,29.034789323806763,35.39101719723183,10.275707282768483
37,12,1.2,1,1,50.00145444869995,43.25743387076395,21.62934609256654
38,12,1.2,1,2,15.700937175750733,35.3591862679997,5.551723621795313
39,12,1.4,1,0,24.940609741210938,37.094320040322586,9.251549597412657
40,12,1.4,1,1,42.87793765068054,46.610672768149875,19.98569520809004
41,12,1.4,1,2,12.495511770248413,37.06157028181356,4.631032876802902
42,12,1.6,1,0,21.790706825256347,38.718380563590166,8.437008796098969
43,12,1.6,1,1,37.422600173950194,50.09331725260169,18.746221829309544
44,12,1.6,1,2,11.887025594711304,38.471942701357975,4.57316967569309
45,12,1.8,1,0,19.37008943557739,43.90219844559586,8.503895103096585
46,12,1.8,1,1,33.2406708240509,57.2228276797583,19.02125178524234
47,12,1.8,1,2,10.19039216041565,43.461454302248356,4.428892632018947
48,12,2.0,1,0,17.43241419792175,47.324391202312135,8.249783891031893
49,12,2.0,1,1,29.889838218688965,62.999182456375834,18.830353715307417
50,12,2.0,1,2,9.943407201766968,46.35168477471785,4.608936762029618
51,12,2.2,1,0,15.854753017425537,49.92236297468354,7.915067350098767
52,12,2.2,1,1,27.16197838783264,68.66800718518519,18.651589270995366
53,12,2.2,1,2,7.983910179138183,50.236389370399806,4.0108282045748425
54,14,1.2,1,0,29.025717353820802,37.10702195155709,10.7705793100792
55,14,1.2,1,1,42.86714715957642,46.382696188651025,19.882938631768276
56,14,1.2,1,2,14.462161207199097,37.21914550866556,5.3826928234052165
57,14,1.4,1,0,24.93371801376343,39.05729961290323,9.738436949272007
58,14,1.4,1,1,36.75785160064697,50.42615012568306,18.535569431118034
59,14,1.4,1,2,12.612784957885742,39.09975854198716,4.931568463953401
60,14,1.6,1,0,21.785465717315674,40.47343193548387,8.817325638925933
61,14,1.6,1,1,32.1034649848938,54.0166443666732,17.341214510269538
62,14,1.6,1,2,10.842941761016846,40.55604751851852,4.397468613003281
63,14,1.8,1,0,19.371273946762084,46.187074963730566,8.947024819220612
64,14,1.8,1,1,28.48638939857483,61.91677327915195,17.637853139331952
65,14,1.8,1,2,9.823722219467163,46.020362811164446,4.520912606959765
66,14,2.0,1,0,17.437973737716675,50.04299383815029,8.72648412306382
67,14,2.0,1,1,25.619853210449218,68.66873699751838,17.592829620233644
68,14,2.0,1,2,8.795780181884766,49.95988681781614,4.394361823613532
69,14,2.2,1,0,15.85297474861145,52.91787269620253,8.389056996031341
70,14,2.2,1,1,23.292982244491576,75.35011457721302,17.55128880967429
71,14,2.2,1,2,8.005465173721314,53.224636718267575,4.260879756320597
72,16,1.2,1,0,29.030003023147582,38.92480004152249,11.29987062880813
73,16,1.2,1,1,37.5079270362854,49.76010658981233,18.663984472884653
74,16,1.2,1,2,14.422537040710449,39.11985178515928,5.642075113985625
75,16,1.4,1,0,24.93747720718384,40.65481100806451,10.138284228759755
