inst,args,energy
CMOVB,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5219009604
CMOVNB,"[rax, rax]",10241902728
CMOVNB,"[rax, rcx]",5201902523
CMOVNB,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5201850094
CMOVBE,"[rax, rax]",10481229277
CMOVBE,"[rax, rcx]",5936751138
CMOVBE,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5900728183
CMOVNBE,"[rax, rax]",10370486545
CMOVNBE,"[rax, rcx]",5894576537
CMOVNBE,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5977278600
CMOVC,"[rax, rax]",10237485602
CMOVC,"[rax, rcx]",5199875276
CMOVC,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5217711991
CMOVNC,"[rax, rax]",10254192913
CMOVNC,"[rax, rcx]",5189780548
CMOVNC,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5225091345
CMOVE,"[rax, rax]",10237020296
CMOVE,"[rax, rcx]",5122413909
CMOVE,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5294041770
CMOVNE,"[rax, rax]",10249393493
CMOVNE,"[rax, rcx]",5070155502
CMOVNE,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5332126924
CMOVG,"[rax, rax]",10251733128
CMOVG,"[rax, rcx]",4993454353
CMOVG,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5270730615
CMOVNG,"[rax, rax]",10129604608
CMOVNG,"[rax, rcx]",5057952699
CMOVNG,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5337120768
CMOVGE,"[rax, rax]",10189438976
CMOVGE,"[rax, rcx]",5085145770
CMOVGE,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5208720452
CMOVNGE,"[rax, rax]",10195219251
CMOVNGE,"[rax, rcx]",5191359965
CMOVNGE,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5204751155
CMOVL,"[rax, rax]",10213593361
CMOVL,"[rax, rcx]",5191748812
CMOVL,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5211798459
CMOVNL,"[rax, rax]",10234553958
CMOVNL,"[rax, rcx]",5194295978
CMOVNL,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5211271987
CMOVLE,"[rax, rax]",10252851609
CMOVLE,"[rax, rcx]",5155690905
CMOVLE,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5265444044
CMOVNLE,"[rax, rax]",10268160819
CMOVNLE,"[rax, rcx]",5081248563
CMOVNLE,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5344528520
CMOVO,"[rax, rax]",10276514474
CMOVO,"[rax, rcx]",5111567701
CMOVO,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5354784904
CMOVNO,"[rax, rax]",10268752827
CMOVNO,"[rax, rcx]",5096970649
CMOVNO,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5340685926
CMOVP,"[rax, rax]",10257244706
CMOVP,"[rax, rcx]",5088785203
CMOVP,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5254217728
CMOVNP,"[rax, rax]",10189585339
CMOVNP,"[rax, rcx]",5196799453
CMOVNP,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5220501640
CMOVS,"[rax, rax]",10255601937
CMOVS,"[rax, rcx]",5200266308
CMOVS,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5219429034
CMOVNS,"[rax, rax]",10268248200
CMOVNS,"[rax, rcx]",5225233339
CMOVNS,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5221910664
CMOVZ,"[rax, rax]",10261602850
CMOVZ,"[rax, rcx]",5175661909
CMOVZ,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5252961621
CMOVNZ,"[rax, rax]",10277134882
CMOVNZ,"[rax, rcx]",5098235494
CMOVNZ,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5366970231
CMOVPE,"[rax, rax]",10281849105
CMOVPE,"[rax, rcx]",5085816422
CMOVPE,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5345874193
CMOVPO,"[rax, rax]",10257259997
CMOVPO,"[rax, rcx]",5080920883
CMOVPO,"[rax, <peachpy.literal.Constant object at 0x7fd121a51ef0>]",5339630796
SETA,[al],5520794146
SETNA,[al],5657178931
SETAE,[al],5079424477
SETNAE,[al],5210299869
SETB,[al],5066786952
SETNB,[al],5207112635
SETBE,[al],5517967360
SETNBE,[al],5641100765
SETC,[al],5052128733
SETNC,[al],5178309563
SETE,[al],5059798630
SETNE,[al],5225082606
SETG,[al],5058260718
SETNG,[al],5189090235
SETGE,[al],5062101128
SETNGE,[al],5115038924
SETL,[al],5097390080
SETNL,[al],5068495257
SETLE,[al],5142531276
SETNLE,[al],5058935739
SETO,[al],5176889617
SETNO,[al],5059813922
SETP,[al],5180437299
SETNP,[al],5049203643
SETS,[al],5170364416
SETNS,[al],5060220245
SETZ,[al],5203420774
SETNZ,[al],5073880132
SETPE,[al],5194108108
SETPO,[al],5074421896
PAUSE,[],57586791219
NOP,[],1521354888
RDTSC,[],145647191108
STC,[],2035751321
CLC,[],1523412718
CMC,[],2517325141
CLD,[],21362276215
XADD,"[rax, rax]",11918599782
