name,frequency,input,cores,speedup,ipmi_energy,parallel_frac
completo_black_2,1.3,4.0,16.0,8.865513025214405,9.904358274221421,0.946350260426784
completo_black_2,1.3,4.0,18.0,9.737592709074212,9.247891372442245,0.9500878735832892
completo_black_2,1.3,4.0,20.0,10.292430217227835,8.849333724737168,0.950359175177709
completo_black_2,1.3,4.0,22.0,10.240869189585045,9.003568803184912,0.9453211832263968
completo_black_2,1.3,4.0,24.0,10.206016238870726,9.01466283281226,0.941236775411668
completo_black_2,1.3,4.0,26.0,10.878858731660795,8.496860589530732,0.9444017368317061
completo_black_2,1.3,4.0,28.0,11.432340088546825,8.147372542198967,0.9463262088946899
completo_black_2,1.3,4.0,30.0,10.830276980917787,8.65813224825594,0.9389650945347776
completo_black_2,1.3,4.0,32.0,12.184362728783835,7.965910352766514,0.9475381585601478
completo_black_2,1.3,5.0,1.0,1.0,152.30133936911506,
completo_black_2,1.3,5.0,2.0,1.9096664831686385,81.82742574304164,0.952696705090894
completo_black_2,1.3,5.0,4.0,3.4861069212935134,45.05809028664151,0.95086275413532
completo_black_2,1.3,5.0,6.0,4.766671742176964,33.91255270408701,0.9482520163110805
completo_black_2,1.3,5.0,8.0,5.861527766491697,28.03828351797841,0.9478811590546848
completo_black_2,1.3,5.0,10.0,6.789326180751688,24.49281961993167,0.9474555315248475
completo_black_2,1.3,5.0,12.0,7.719354769358881,22.0809159746933,0.9495878116696223
completo_black_2,1.3,5.0,14.0,8.392082173531236,20.32515829575062,0.948596988753956
completo_black_2,1.3,5.0,16.0,8.97794041651,19.318565501811893,0.9478569377999971
completo_black_2,1.3,5.0,18.0,9.637191698983628,18.589922253906728,0.9489550570928597
completo_black_2,1.3,5.0,20.0,10.140727449771186,17.73972365301534,0.9488292053838111
completo_black_2,1.3,5.0,22.0,10.407681772947909,17.327004309924874,0.9469607962933716
completo_black_2,1.3,5.0,24.0,10.751897945719907,16.897318516837224,0.9464276502576082
completo_black_2,1.3,5.0,26.0,11.402518798179557,16.125586565157946,0.9487920819594667
completo_black_2,1.3,5.0,28.0,11.687902373393284,15.796123952786127,0.9483096500426195
completo_black_2,1.3,5.0,30.0,12.032800987601819,15.43123043976724,0.9485108590034196
completo_black_2,1.3,5.0,32.0,12.113704995628988,15.567398759365082,0.947043997895834
completo_black_2,1.4,1.0,1.0,1.0,10.286280930271515,
completo_black_2,1.4,1.0,2.0,1.9622712358201957,5.223573660520406,0.9807729107520479
completo_black_2,1.4,1.0,4.0,3.1570723378545527,3.3236722964644434,0.9110011246771881
completo_black_2,1.4,1.0,6.0,4.267247783721916,2.5005912830034895,0.91878830083934
completo_black_2,1.4,1.0,8.0,5.1368629300332955,2.110710406970978,0.9203756092006209
completo_black_2,1.4,1.0,10.0,6.302661969861215,1.7434878466129302,0.9348187577492542
completo_black_2,1.4,1.0,12.0,6.374804238643403,1.7451340960264206,0.9197808413079326
completo_black_2,1.4,1.0,14.0,6.333744988758504,1.7603590428829192,0.906893642704544
completo_black_2,1.4,1.0,16.0,8.418883225258266,1.3675283830165863,0.9399673601046679
completo_black_2,1.4,1.0,18.0,8.00518541718935,1.4877224806149802,0.9265563208174232
completo_black_2,1.4,1.0,20.0,8.50893278009087,1.3996460677782696,0.9289225773425718
