,2mm_EXTRALARGE_DATASET_mem.dat,2mm_LARGE_DATASET_mem.dat,2mm_MEDIUM_DATASET_mem.dat,3mm_EXTRALARGE_DATASET_mem.dat,3mm_LARGE_DATASET_mem.dat,3mm_MEDIUM_DATASET_mem.dat,adi_EXTRALARGE_DATASET_mem.dat,adi_LARGE_DATASET_mem.dat,adi_MEDIUM_DATASET_mem.dat,atax_EXTRALARGE_DATASET_mem.dat,atax_LARGE_DATASET_mem.dat,atax_MEDIUM_DATASET_mem.dat,bicg_EXTRALARGE_DATASET_mem.dat,bicg_LARGE_DATASET_mem.dat,bicg_MEDIUM_DATASET_mem.dat,cholesky_EXTRALARGE_DATASET_mem.dat,cholesky_LARGE_DATASET_mem.dat,cholesky_MEDIUM_DATASET_mem.dat,correlation_EXTRALARGE_DATASET_mem.dat,correlation_LARGE_DATASET_mem.dat,correlation_MEDIUM_DATASET_mem.dat,covariance_EXTRALARGE_DATASET_mem.dat,covariance_LARGE_DATASET_mem.dat,covariance_MEDIUM_DATASET_mem.dat,deriche_EXTRALARGE_DATASET_mem.dat,deriche_LARGE_DATASET_mem.dat,deriche_MEDIUM_DATASET_mem.dat,doitgen_EXTRALARGE_DATASET_mem.dat,doitgen_LARGE_DATASET_mem.dat,doitgen_MEDIUM_DATASET_mem.dat,durbin_EXTRALARGE_DATASET_mem.dat,durbin_LARGE_DATASET_mem.dat,durbin_MEDIUM_DATASET_mem.dat,fdtd-2d_EXTRALARGE_DATASET_mem.dat,fdtd-2d_LARGE_DATASET_mem.dat,fdtd-2d_MEDIUM_DATASET_mem.dat,floyd-warshall_EXTRALARGE_DATASET_mem.dat,floyd-warshall_LARGE_DATASET_mem.dat,floyd-warshall_MEDIUM_DATASET_mem.dat,gemm_EXTRALARGE_DATASET_mem.dat,gemm_LARGE_DATASET_mem.dat,gemm_MEDIUM_DATASET_mem.dat,gemver_EXTRALARGE_DATASET_mem.dat,gemver_LARGE_DATASET_mem.dat,gemver_MEDIUM_DATASET_mem.dat,gesummv_EXTRALARGE_DATASET_mem.dat,gesummv_LARGE_DATASET_mem.dat,gesummv_MEDIUM_DATASET_mem.dat,gramschmidt_EXTRALARGE_DATASET_mem.dat,gramschmidt_LARGE_DATASET_mem.dat,gramschmidt_MEDIUM_DATASET_mem.dat,heat-3d_EXTRALARGE_DATASET_mem.dat,heat-3d_LARGE_DATASET_mem.dat,heat-3d_MEDIUM_DATASET_mem.dat,jacobi-1d_EXTRALARGE_DATASET_mem.dat,jacobi-1d_LARGE_DATASET_mem.dat,jacobi-1d_MEDIUM_DATASET_mem.dat,jacobi-2d_EXTRALARGE_DATASET_mem.dat,jacobi-2d_LARGE_DATASET_mem.dat,jacobi-2d_MEDIUM_DATASET_mem.dat,lu_EXTRALARGE_DATASET_mem.dat,lu_LARGE_DATASET_mem.dat,lu_MEDIUM_DATASET_mem.dat,ludcmp_EXTRALARGE_DATASET_mem.dat,ludcmp_LARGE_DATASET_mem.dat,ludcmp_MEDIUM_DATASET_mem.dat,mvt_EXTRALARGE_DATASET_mem.dat,mvt_LARGE_DATASET_mem.dat,mvt_MEDIUM_DATASET_mem.dat,nussinov_EXTRALARGE_DATASET_mem.dat,nussinov_LARGE_DATASET_mem.dat,nussinov_MEDIUM_DATASET_mem.dat,seidel-2d_EXTRALARGE_DATASET_mem.dat,seidel-2d_LARGE_DATASET_mem.dat,seidel-2d_MEDIUM_DATASET_mem.dat,symm_EXTRALARGE_DATASET_mem.dat,symm_LARGE_DATASET_mem.dat,symm_MEDIUM_DATASET_mem.dat,syr2k_EXTRALARGE_DATASET_mem.dat,syr2k_LARGE_DATASET_mem.dat,syr2k_MEDIUM_DATASET_mem.dat,syrk_EXTRALARGE_DATASET_mem.dat,syrk_LARGE_DATASET_mem.dat,syrk_MEDIUM_DATASET_mem.dat,trisolv_EXTRALARGE_DATASET_mem.dat,trisolv_LARGE_DATASET_mem.dat,trisolv_MEDIUM_DATASET_mem.dat,trmm_EXTRALARGE_DATASET_mem.dat,trmm_LARGE_DATASET_mem.dat,trmm_MEDIUM_DATASET_mem.dat
65,0.6023230712642758,0.9878185778836691,0.5109591482159253,0.4712374632467745,0.7473090985296019,0.6513763072726388,0.4646472341242837,0.6192728033511294,0.8508821992913641,0.37243889505969013,0.27890474331602727,0,0.33799227452013486,0.20883078701462368,0,0.6157360835342954,0.6944840309481926,0.9262622200297352,0.6191080964291906,0.9986561774308579,0.38718245621278313,0.6618802482885744,0.9149511456382451,0.3319620751751717,-0.05961727534618431,-0.07455419786114054,0.021615538031518507,0.42164951225784403,0.3478371153634951,0.1998621471133269,0.625458021144078,0.907672342412632,0,0.8472902270659575,0.6570175276822122,0.30982463567341595,0.4898198143670741,0.676303481545953,0.5878448488006999,0.9285713119717273,0.8266024622377429,0.4041367620447825,0.2096745852609306,0.11964251329483773,0,0.1239588106475264,0.39384723829922264,0,0.6622776253337544,0.9098458118265329,0.3264040021058719,0.5296674477785753,0.6622428716965921,0.8131339936014454,0.9355148485160084,0,0,0.7906935461087721,0.9900184182308855,0.45027755283315596,0.9011639591811569,0.9297437498927066,0.6863246807632369,0.9393537840561488,0.9176185232738967,0.9999999999999998,0.1228843771321896,0.5147678628323445,0,0.6170218409752166,0.9896662155652431,0.38962129578223903,0.8318253198627616,0.9791594226772771,0.4813017797192727,0.6439968649765136,0.9731134450075182,0.39568739658479096,0.7067436642888277,0.9115041621341811,0.411640974292051,0.9359983757891223,0.6234951943212227,0.30453524217564854,0.7758580583466107,0.9035557142190982,0,0.8972893254316557,0.5589240930440025,0.2502183164235549
66,0.5087285603323115,0.11274796723433654,-0.44505242664412425,0.5197136597579528,0.40958517247905807,-0.2917600954171644,0.5023263582414005,0.5577529452223892,-0.048704463560636437,0.8055214014082623,0.8124228441311543,0,0.820315231712557,0.8793072400958432,0,0.5256163474981385,0.505114883478655,-0.0011178983277875607,0.5568771626464781,0.10665421866350404,-0.6710579668808712,0.5237597334678005,0.009901710057971408,-0.6503652832551945,-0.24713939953101585,-0.23930512167179643,-0.21537967227132396,-0.5938578486958552,-0.6607540418966985,-0.4300747552987957,0.5237245129643647,0.2561357935876324,0,-0.07057308612249645,-0.23234914789392072,-0.605299990217688,0.4632484677715032,0.290260708421786,-0.29095425357279736,0.21183079602880994,-0.05961492659912556,-0.6398999310470292,0.6350918762151154,0.7649051461857979,0,0.7277674396459519,0.6902937531118032,0,0.5247626537342319,-0.0043358879838328365,-0.6408673164649065,0.5549349762851978,0.521015008624738,-0.0739260773276175,0.06815921059032477,0,0,0.35511906789712183,0.08134853061505772,-0.5587786301910556,0.18770676824574725,0.2909108274823995,-0.27152027041396204,0.13358285678235826,0.22241671290061255,0.12288437713218961,1.0,0.8187836866247549,0,0.5534521179621714,0.08446841552815754,-0.6676610789073264,0.31268365856423463,0.06843121673661857,-0.4811673696368846,0.5155321192249523,0.06857721847572185,-0.6580619201337319,0.4716740639270212,0.0022054404469484513,-0.6289446439433739,0.2063464341546988,-0.26806615487689267,-0.6129678980462921,0.3293153244805741,0.28640848522176204,0,0.21894857416725594,-0.34135387159138825,-0.47342204263603105
67,0.5740241970621791,0.5399572348124045,-0.18837652221182288,0.46400603086164127,0.7448822694330318,0.0072591780956186,0.4418697707930072,0.6603460565232625,0.2862863799917933,0.820526921272827,0.7691417245171652,0,0.8887423348609033,0.8431347934018129,0,0.6157514746990551,0.688276344471548,0.38148014146354875,0.6678322747520966,0.5037416838425618,-0.3992246697169481,0.7003895930928744,0.34987509980671494,-0.3952598498966348,-0.15499217818410405,-0.15057641079351464,-0.13100141408900773,-0.35149167853075697,-0.40063220388850257,-0.26243113431150034,0.6362618999022025,0.5989321494736407,0,0.2609092150177734,0.049445921930770756,-0.37202440100943573,0.5815804803966954,0.666728795843451,-0.016748963767906726,0.659877520884238,0.26109365100685333,-0.37814233420087945,0.5447515397596218,0.6202000384827754,0,0.6696312146248156,0.7895717743275538,0,0.706788537524997,0.3423298348910474,-0.3919043173500455,0.5357168339200474,0.6972257265733549,0.24663246547408244,0.462875147699725,0,0,0.7364246436265072,0.4617321225622214,-0.30918933424718764,0.43839498927383547,0.5782346221775349,0.0292027660185382,0.42708671422276995,0.6043760343864284,0.5147678628323447,0.8187836866247549,0.9999999999999999,0,0.6530417295647741,0.45960100177349716,-0.39700778089769917,0.7225956134120649,0.435668190931664,-0.2377872359127921,0.705741983994113,0.45503104272822503,-0.39033867348424645,0.7313564224571407,0.34368740279991133,-0.373573362209169,0.6518008820532017,0.0027055342300351926,-0.37655412015586964,0.685705241067542,0.6242120738277064,0,0.6662223788000735,-0.07947736954126605,-0.2777043659031676
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
69,0.982056366718877,0.6297486805041429,0.26897868393037444,0.823118263279712,0.8742736056648106,0.3463280461234183,0.8224607606538186,0.9986649013218216,0.4629789262016017,0.7346540521271304,0.701229166041554,0,0.4668917187680639,0.41220210458616857,0,0.9676460583801106,0.9716007929470528,0.5482744847475867,0.9944406667741252,0.5979086473997005,0.19894237178962323,0.985034103079678,0.529130388500247,0.15970122413152824,-0.23526075583170716,-0.25401961524068833,-0.10390884719824574,0.22181964968337733,0.18018067760349568,0.06843376757806345,0.8915022240371627,0.7683894250822165,0,0.47685398309655247,0.36728461007266794,0.14402467538124036,0.7289762867033868,0.6241025199983402,0.29014013802108946,0.6875308364936077,0.4737552547981788,0.2039348903449404,0.4063458433905245,0.2604670169795001,0,0.660522263465393,0.5985554574545329,0,0.977358413786028,0.507071014580983,0.15626427132326148,0.9336957144531681,0.9864390840176034,0.45779639284112655,0.5995467272753563,0,0,0.8306924232750601,0.5792536591369701,0.2313607493989492,0.7295264840987371,0.8348926791905712,0.3778710284696523,0.6512490054785064,0.7237360454210483,0.6170218409752168,0.5534521179621715,0.6530417295647742,0,1.0,0.5918717770175509,0.1979462137688817,0.7984384273367875,0.5780436177535722,0.2622612593174547,0.9294218197265549,0.5334840447918672,0.1975607332569172,0.9427857279151133,0.5202041653233331,0.21429315339032537,0.6806140773348798,0.352397818070228,0.1402842660496575,0.8249626382115571,0.7823414390091117,0,0.6566303450904468,0.29448774130364747,0.10727283321209988
70,0.5749812024656873,0.9611743270585652,0.5290849404976387,0.4367573106820577,0.7127459945560668,0.6744807790023916,0.4366464676801837,0.5920557599202118,0.8824106765299772,0.31374794000906064,0.22117016910990694,0,0.2908645697430542,0.16945602399456688,0,0.5909811439155964,0.6643284673909572,0.9377140463806529,0.5912038522408234,0.9914488180560993,0.4011046377563375,0.634305379711698,0.9511158469245758,0.34356878158058557,-0.06717199828874906,-0.08298421688503287,0.016003694225452017,0.4378673241844,0.36117929972758267,0.2059035317384159,0.5803480053297734,0.8871338579575039,0,0.8831176921699265,0.6815499525832107,0.3204721876633015,0.4451307521052145,0.6267672526045069,0.6060436486569135,0.8864330862179188,0.8603969655982839,0.4182616191604533,0.1909428811000453,0.10469461642496124,0,0.06632495559393828,0.33532612578023135,0,0.6324213617418735,0.9463483693301853,0.3378440372781367,0.5030908951504888,0.6358733372030598,0.8445568402384949,0.9367627809585007,0,0,0.754285911499834,0.998406377350235,0.4660998807248329,0.9227698658897464,0.9335126188203484,0.711435275662744,0.9570345010508482,0.8864590477153206,0.9896662155652431,0.08446841552815752,0.4596010017734971,0,0.5918717770175507,0.9999999999999999,0.40355128441770133,0.7943282032903839,0.9973308638212041,0.4995589924320359,0.6077373570757136,0.9773562423631237,0.40942096891786134,0.6774553976614107,0.9468266367671223,0.4267251724900373,0.8939068396120466,0.6480916679610698,0.3150660398875102,0.7299362396024942,0.8804071910036105,0,0.847790818908891,0.5769831320675214,0.2566495054194051
71,0.27445653098927225,0.4193293239556792,0.819739867181483,0.1471805163296934,0.27825696693198165,0.6950119211770296,0.12293855246394639,0.20509578618841218,0.5012082890277416,-0.2822177268166082,-0.3171821193112557,0,-0.5862316646141438,-0.699548775213343,0,0.1780502274981414,0.2255715594460109,0.5035084746674816,0.21175028062263782,0.3971314393913206,0.9990217090627042,0.22590345837610806,0.4509920643807161,0.9227180373253506,0.2494663665465925,0.2307077073962253,0.2886810911762655,0.9566276653253938,0.9404806299216528,0.6110143747502318,0.24166548527043732,0.42598791028318966,0,0.5204654508634687,0.6282798907784337,0.8644617900633087,0.24875153124727833,0.31431780038630863,0.6738471350259814,0.3441795851289426,0.49847716675558984,0.9902955573258586,-0.33872163289162727,-0.6335857496222703,0,-0.2673362150268904,-0.2886608503324161,0,0.23487854689010587,0.456799379911644,0.9122071766765198,0.15228955206359376,0.22164970109090018,0.5111823060502333,0.4877561186943742,0,0,0.2857711644926335,0.41033319132456614,0.9296420767280181,0.3983051677739069,0.3706575214590465,0.6935275539686805,0.3720899475284903,0.30186482315689017,0.38962129578223903,-0.6676610789073265,-0.39700778089769917,0,0.19794621376888166,0.4035512844177014,1.0,0.2948817818917235,0.4138600592002095,0.8487521161544164,0.25473623699911646,0.42483028299120323,0.9977483660794619,0.2505580171585406,0.4579962551012424,0.9832591396534283,0.3468406272518718,0.652745899931073,0.8698208839138728,0.3753305816610846,0.40107467970893995,0,0.3554865148217726,0.7246040513016533,0.694184876790986
72,0.748596914792772,0.8721596800498584,0.39069064802091463,0.574651857993769,0.9569991822384162,0.4995803882498344,0.574000779804519,0.7992148388054156,0.6559028274082472,0.5914041550313821,0.5111939228512138,0,0.47730681288443877,0.34902746006488194,0,0.795143795195156,0.887420841007589,0.7654306836442423,0.7989119395234808,0.8191789897439209,0.29396821113007987,0.8612400949509612,0.7171583740114911,0.2471433977243059,-0.13352974782996135,-0.14963103658181562,-0.03487015928465972,0.3227590758898699,0.2649069513502257,0.1365062219868484,0.7662616309470844,0.8898999000586855,0,0.6611977781539708,0.5122289181799463,0.22867892728579636,0.6057804194363128,0.8215421503239138,0.440415399188225,0.9522270447763388,0.6497743097244619,0.3050945917991537,0.2920426224491983,0.1817325710722364,0,0.42574711523662284,0.5721542619700503,0,0.8589176547622573,0.7044374745939534,0.2426797051327959,0.6665823011061105,0.8630551227099349,0.6352894018818285,0.8130852080396654,0,0,0.988169544320422,0.7891377010043281,0.34180329455505626,0.7867284894181701,0.8749024307065438,0.5323723477602862,0.7805740817153366,0.9226115842985766,0.8318253198627616,0.31268365856423463,0.7225956134120648,0,0.7984384273367873,0.7943282032903838,0.2948817818917235,1.0,0.7772705532358225,0.3722143467549904,0.8276904508688079,0.7586039439206683,0.2977503205435446,0.9192958730962627,0.7106960497090983,0.313627654390855,0.9451926319852455,0.48726115737641446,0.22374708581732833,0.9345599557923996,0.8968809956331896,0,0.9307465830076191,0.42678262201255174,0.1818834056358702
73,0.5636733846512345,0.9457235027553937,0.5424523586103811,0.42617932239597967,0.6992283148422983,0.6915903391546964,0.4245700993852778,0.5786693414801073,0.9045782193760024,0.29182786439537495,0.20015473021289606,0,0.26792715792763644,0.1516529406988531,0,0.5758430908249766,0.6492653662033534,0.9463449969410906,0.5782945768991683,0.9823674705763734,0.41122587816177053,0.6204436886305676,0.9688903065233626,0.35274555473198194,-0.05652242349346004,-0.07201664335430694,0.023619227823454485,0.44861192745811157,0.3700067018348748,0.21276971897530483,0.5694902475836104,0.8845192949812539,0,0.9055005055046274,0.6976651377116858,0.3291789342809449,0.44090978694999783,0.6190291181346721,0.6230310620278551,0.8670883092935513,0.8822845963072778,0.4291360797932589,0.18460720122008345,0.09952091803318965,0,0.0408428114949009,0.30843162849601946,0,0.6192404610196427,0.9650128630453637,0.346893488681366,0.4900733881928664,0.6216809868445878,0.866130296434946,0.9426767891975338,0,0,0.7391978844674065,0.996262255520979,0.4780723471990408,0.9320628383827474,0.9311475556475656,0.7286643866270346,0.9585937264240592,0.8649478413414097,0.9791594226772767,0.06843121673661856,0.43566819093166387,0,0.5780436177535719,0.9973308638212038,0.41386005920020946,0.7772705532358225,1.0,0.5114550009644507,0.5968528510913557,0.9773253349031901,0.420177951661047,0.6633251463778174,0.9649997623217976,0.43740879154931284,0.8745044703604579,0.6632208397686986,0.3238251758071875,0.7155914523898544,0.8764887050003877,0,0.8306700058747244,0.5918939579141932,0.26400091218314525
74,0.31845541009633427,0.49646396680246324,0.973260566720645,0.19414819892389062,0.34371479127889787,0.7818790819831014,0.17723608148812697,0.26710701892535893,0.6030441707127898,-0.31970576709690834,-0.36789326188153365,0,-0.5825451075331823,-0.6579620943686608,0,0.24812907545884907,0.2966949103047374,0.6109495775264483,0.27158391986041375,0.48747377259951635,0.845797099786175,0.2905216028563706,0.5535137941462906,0.7378107222293433,0.16494809340939015,0.14805225062461355,0.21103956339764107,0.9126189910402616,0.7556073810673095,0.48428873994797156,0.2900356693289129,0.5086064579432324,0,0.6092585012763085,0.7607035556737791,0.6921262964931943,0.2664127313104978,0.3505251503196713,0.8025017091339004,0.42422396194953504,0.6073273122412073,0.8836505309809822,-0.008180915996435244,-0.23181003798121919,0,-0.3217142439872068,-0.3629350343379407,0,0.29626656110677413,0.5571572600489401,0.7309831390305391,0.2116631449600124,0.28790379831767704,0.6203771399006365,0.5824380721113356,0,0,0.3576563799331072,0.503762331965513,0.9735205780129884,0.5029690555448249,0.46552661963414116,0.8383313586251995,0.47509818112805663,0.39463988759912333,0.48130177971927274,-0.48116736963688456,-0.23778723591279208,0,0.26226125931745464,0.4995589924320359,0.8487521161544164,0.3722143467549904,0.5114550009644508,1.0,0.3048551128798023,0.5094825663340389,0.8694493751133275,0.3170272851646996,0.5608010751368249,0.8985711280985507,0.4275370119038349,0.7925395127802435,0.6926550103056938,0.4496907020329557,0.4767356850696535,0,0.4243147459760263,0.8685031551373272,0.5556573088378356
