,file,name,ts,mse,mae
0,completo_fluid_2.json,Equation,8,132.36089959871018,0.025509559407765888
1,completo_fluid_2.json,Equation,16,119.34973624569494,0.027198265168889037
2,completo_fluid_2.json,Equation,32,114.086945474747,0.025888070093900085
3,completo_fluid_2.json,Equation,64,116.09019853667753,0.02388278210845169
4,completo_fluid_2.json,MLP,8,8864.043076478358,0.3827443842659821
5,completo_fluid_2.json,MLP,16,2986.831994503281,0.13164037803349637
6,completo_fluid_2.json,MLP,32,140.56798537979418,0.01722294724084136
7,completo_fluid_2.json,MLP,64,109.63159072114532,0.009224498539089193
8,completo_fluid_2.json,SVR_gridsearch,8,20621.878580991466,0.9482259582253926
9,completo_fluid_2.json,SVR_gridsearch,16,19431.289021916768,0.44753955487580743
10,completo_fluid_2.json,SVR_gridsearch,32,9216.088377195138,0.30402842306903494
11,completo_fluid_2.json,SVR_gridsearch,64,996.0563555336347,0.05651805387174255
12,completo_fluid_2.json,SVR,8,18731.09868457711,1.8784397578718997
13,completo_fluid_2.json,SVR,16,1493.7440428743805,0.2495546340298222
14,completo_fluid_2.json,SVR,32,137.72655728781717,0.021167199564538754
15,completo_fluid_2.json,SVR,64,50.554290373315474,0.014234858457089473
16,completo_fluid_2.json,Tree,8,4256.618562150003,0.2094632603357954
17,completo_fluid_2.json,Tree,16,514.3276128019605,0.1046897415902359
18,completo_fluid_2.json,Tree,32,315.28645287859877,0.04278135777474455
19,completo_fluid_2.json,Tree,64,193.14518056696718,0.010552970718098605
20,completo_fluid_2.json,KNN,8,21783.49549024011,0.477955658967851
21,completo_fluid_2.json,KNN,16,6984.9386189667075,0.32233295520457755
22,completo_fluid_2.json,KNN,32,1689.283841577831,0.14079505753755683
23,completo_fluid_2.json,KNN,64,377.5623424008006,0.044100700004457635
24,completo_fluid_3.json,Equation,8,121.637083453373,4.10470971589075
25,completo_fluid_3.json,Equation,16,81.91060845269023,5.86568713162943
26,completo_fluid_3.json,Equation,32,59.921446900257145,4.164188794364707
27,completo_fluid_3.json,Equation,64,62.14374087444119,2.3537324148979906
28,completo_fluid_3.json,MLP,8,209.76162863977393,2.2749363793549686
29,completo_fluid_3.json,MLP,16,425.8109393541257,9.989423283308508
30,completo_fluid_3.json,MLP,32,3011.8524549604294,4.852374737583733
31,completo_fluid_3.json,MLP,64,27.621831253828343,1.7259991750981432
32,completo_fluid_3.json,SVR_gridsearch,8,1135.491513396042,5.853590756853245
33,completo_fluid_3.json,SVR_gridsearch,16,507.6279858417524,15.201450879539694
34,completo_fluid_3.json,SVR_gridsearch,32,384.7505373410291,7.8191177121609785
35,completo_fluid_3.json,SVR_gridsearch,64,93.15881055252298,2.68252776884423
36,completo_fluid_3.json,SVR,8,1400.814485510173,2.0253285574172257
37,completo_fluid_3.json,SVR,16,511.44832363521624,10.836850902016277
38,completo_fluid_3.json,SVR,32,44.949991216672,1.2131296609454185
39,completo_fluid_3.json,SVR,64,3.313367504588442,0.7299950023487309
40,completo_fluid_3.json,Tree,8,388.44256392408187,7.245815683602299
41,completo_fluid_3.json,Tree,16,162.63983144620354,0.5782170398597833
42,completo_fluid_3.json,Tree,32,285.72526357301933,0.25556235933005894
43,completo_fluid_3.json,Tree,64,15.33700255721167,0.14638851169367847
44,completo_fluid_3.json,KNN,8,870.2868872465376,8.175833274207749
45,completo_fluid_3.json,KNN,16,685.715521856005,4.9712938197465775
46,completo_fluid_3.json,KNN,32,234.98162607168365,8.114504506551416
47,completo_fluid_3.json,KNN,64,104.21285120386645,1.9244370527696544
48,completo_fluid_4.json,Equation,8,297.91740046843887,0.36500000045807307
49,completo_fluid_4.json,Equation,16,60.614351431369414,0.07993120521953581
50,completo_fluid_4.json,Equation,32,53.401120872916884,0.08021776002374245
51,completo_fluid_4.json,MLP,8,158.8721532193774,0.24976303608669764
52,completo_fluid_4.json,MLP,16,534.7840323969173,0.4675393777957711
53,completo_fluid_4.json,MLP,32,30.40654991815211,0.030661150123096108
54,completo_fluid_4.json,SVR_gridsearch,8,1874.249753502619,0.34079628968715
55,completo_fluid_4.json,SVR_gridsearch,16,1056.6987213850089,0.652922393905944
56,completo_fluid_4.json,SVR_gridsearch,32,314.4460766765963,0.11550561630392356
57,completo_fluid_4.json,SVR,8,443.42556793611976,0.4086332549139443
58,completo_fluid_4.json,SVR,16,63.41032416506174,0.05643275257260496
59,completo_fluid_4.json,SVR,32,93.20480298869288,0.05663711454845499
60,completo_fluid_4.json,Tree,8,990.7796430510216,0.31755501319984286
61,completo_fluid_4.json,Tree,16,228.91518472682003,0.0714771954474465
62,completo_fluid_4.json,Tree,32,19.250639087705995,0.018055570269798347
63,completo_fluid_4.json,KNN,8,1492.542054143316,1.123222107665318
64,completo_fluid_4.json,KNN,16,484.33109758861565,0.38000386813043224
65,completo_fluid_4.json,KNN,32,208.63916989538748,0.09384882434513457
66,completo_freqmine_1.json,Equation,8,65.20458758335663,0.5472593313942747
67,completo_freqmine_1.json,Equation,16,187.30839703717425,0.2883678726149383
68,completo_freqmine_1.json,Equation,32,63.178400089873975,0.5054570683680255
69,completo_freqmine_1.json,Equation,64,65.12312381738296,0.48711686697518564
70,completo_freqmine_1.json,Equation,128,63.815883106290684,0.4608859543237171
71,completo_freqmine_1.json,MLP,8,331.2415606639699,1.157181557845709
72,completo_freqmine_1.json,MLP,16,270.1409529754512,0.26931080161311705
73,completo_freqmine_1.json,MLP,32,286.0960995814575,0.41129321910388184
74,completo_freqmine_1.json,MLP,64,3.967389866133021,0.1292788510583787
